"","b_1058","b_200","b_127","b_61","b_95","b_1052","b_10","b_912","b_1047","b_1261","b_1086","b_778","b_1045","b_1084","b_372","b_1048","b_292","b_1006","b_775","b_657","b_9","b_988","b_741","b_426","b_670","b_1016","b_1491","b_659","b_992","b_693","b_1081","b_983","b_879","b_406","b_981","b_864","b_405","b_8","b_965","b_1075","b_959","b_1617","b_1429","b_2","b_937","b_1270","b_911","b_933","b_940","b_910","b_1071","b_908","b_1165","b_1073","b_1615","b_1616","b_1551","b_851","b_859","b_857","b_855","b_860","b_1277","b_1272","b_834","b_835","b_1265","b_823","b_763","b_826","b_780","b_1264","b_1267","b_799","b_824","b_791","b_797","b_760","b_786","b_1274","b_779","b_810","b_798","b_818","b_751","b_770","b_1262","b_811","b_750","b_794","b_1269","b_841","b_1672","b_812","b_743","b_781","b_752","b_716","b_734","b_925","b_74","b_736","b_689","b_661","b_658","b_1243","b_1242","b_1521","b_662","b_1526","b_11","b_1235","b_1231","b_724","b_1241","b_1228","b_637","b_634","b_612","b_1224","b_621","b_629","b_639","b_620","b_619","b_628","b_611","b_558","b_557","b_559","b_1216","b_556","b_574","b_1573","b_359","b_6","b_364","b_360","b_1192","b_1194","b_478","b_1206","b_92","b_515","b_1115","b_1114","b_7","b_388","b_389","b_1171","b_352","b_1172","b_375","b_368","b_1276","b_387","b_1544","b_410","b_376","b_1176","b_377","b_373","b_1166","b_374","b_1161","b_1178","b_317","b_286","b_282","b_312","b_281","b_347","b_1149","b_324","b_346","b_339","b_295","b_266","b_291","b_1151","b_344","b_319","b_318","b_1154","b_303","b_305","b_296","b_345","b_1181","b_378","b_444","b_400","b_56","b_69"
"b_1058",0,0.403361344537815,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252100840336134,0,0,0,0,0,0,0,0.176470588235294,0,0,0,0,0.0252100840336134,0.0168067226890756,0,0.0336134453781513,0.0252100840336134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277310924369748,0.0588235294117647,0.159663865546218,0.00840336134453781,0.117647058823529,0.00840336134453781,0.0420168067226891,0.0672268907563025,0.0336134453781513,0.378151260504202,0.0168067226890756,0.00840336134453781,0,0,0,0,0,0.277310924369748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_200",0.403361344537815,0,0.38655462184874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00840336134453781,0,0,0,0,0,0,0,0.0756302521008403,0,0,0,0,0.00840336134453781,0.0252100840336134,0,0.0756302521008403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0756302521008403,0.00840336134453781,0.0588235294117647,0.00840336134453781,0.0336134453781513,0.0168067226890756,0.00840336134453781,0.0420168067226891,0.00840336134453781,0.134453781512605,0.0336134453781513,0.0252100840336134,0,0,0,0,0,0.0756302521008403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_127",0.0588235294117647,0.38655462184874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00840336134453781,0,0,0.0252100840336134,0,0,0,0,0,0,0,0.00840336134453781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888888888888889,0.00740740740740741,0.00740740740740741,0.00740740740740741,0,0,0,0,0,0.0592592592592593,0,0.0148148148148148,0,0,0,0,0,0,0,0.0148148148148148,0.0592592592592593,0,0,0,0,0.0296296296296296,0,0,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00740740740740741,0.00740740740740741,0,0,0.0592592592592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444444444444444,0,0.0296296296296296,0,0.0148148148148148,0,0,0,0,0,0,0,0.0148148148148148,0,0,0,0,0,0,0.0148148148148148,0,0,0,0,0,0
"b_95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0.00740740740740741,0,0,0,0,0,0,0.0814814814814815,0,0.0148148148148148,0,0,0,0,0,0,0,0.00740740740740741,0,0,0,0.00740740740740741,0,0,0,0,0,0,0.00740740740740741,0,0.0148148148148148,0,0.00740740740740741,0,0,0,0,0.00740740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148148148148148,0,0,0.00740740740740741,0,0,0,0,0,0,0,0,0,0,0.00740740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518518518518519,0,0,0,0,0,0,0,0,0,0.037037037037037,0,0,0,0.00740740740740741,0,0,0,0,0,0,0,0,0
"b_1052",0,0,0,0,0,0,0,0,0,0.00740740740740741,0,0.00740740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0,0,0,0,0,0,0,0,0.0222222222222222,0,0,0,0,0.111111111111111,0,0,0,0,0.00740740740740741,0.0962962962962963,0,0,0.0666666666666667,0,0.0222222222222222,0,0,0,0,0,0,0,0,0,0.0148148148148148,0.0222222222222222,0,0,0.00740740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00740740740740741,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0,0,0.00740740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888888888888889,0,0.037037037037037,0.0148148148148148,0,0,0,0,0,0,0.0296296296296296,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_10",0,0,0,0,0,0,0,0,0.036144578313253,0,0.144578313253012,0,0,0.0120481927710843,0,0,0,0,0,0,0,0,0.108433734939759,0,0,0.0120481927710843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120481927710843,0,0,0,0,0,0,0,0,0,0.0120481927710843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120481927710843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0963855421686747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120481927710843,0,0,0,0,0,0.0120481927710843,0.0602409638554217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_912",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036144578313253,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240963855421687,0,0,0,0,0,0,0,0.0120481927710843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_1047",0,0,0,0,0,0,0.036144578313253,0,0,0,0.325301204819277,0,0.493975903614458,0.108433734939759,0.0963855421686747,0.0963855421686747,0.036144578313253,0,0,0,0.0240963855421687,0,0.036144578313253,0,0,0.108433734939759,0,0,0,0.0120481927710843,0,0,0,0,0,0,0,0,0,0.0240963855421687,0.0120481927710843,0.0963855421686747,0,0.0240963855421687,0.036144578313253,0,0.0120481927710843,0.0240963855421687,0,0,0,0.0481927710843374,0.0602409638554217,0.0843373493975904,0.0602409638554217,0.0481927710843374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240963855421687,0,0,0.0963855421686747,0,0,0,0.0120481927710843,0.0120481927710843,0,0.0120481927710843,0.108433734939759,0,0,0,0.0240963855421687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120481927710843,0,0,0.0120481927710843,0.0120481927710843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_1261",0,0,0,0,0,0.00740740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00740740740740741,0,0.00740740740740741,0,0,0.00740740740740741,0,0,0,0,0,0,0,0,0.0148148148148148,0,0,0,0,0,0,0,0,0,0,0.37037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00740740740740741,0,0,0.00740740740740741,0,0,0,0,0,0,0,0,0,0.00740740740740741,0,0,0,0,0,0
