"","baboon_id","age_in_years","social_groups","hydrological_years","grooming_partner_diversity","grooming_partner_richness"
"1","b_1058",10,"1.21","2007-2008",2.00090559473447,21
"2","b_1058",5,"1.21","2002-2003",2.50521761092095,22
"3","b_1058",6,"1.21","2003-2004",2.74401783303317,25
"4","b_1058",7,"1.21","2004-2005",2.70353176219229,27
"5","b_1058",8,"1.21","2005-2006",2.21289646499683,20
"6","b_1058",9,"1.21","2006-2007",2.61520712291042,23
"7","b_200",10,"1.21","2006-2007",2.08222051760104,13
"8","b_200",11,"1.21","2007-2008",2.2434415057628,24
"9","b_200",12,"1.21","2008-2009",2.27287271161984,21
"10","b_200",13,"1.21","2009-2010",2.27355600221065,19
"11","b_200",14,"1.21","2010-2011",2.15883360066374,16
"12","b_200",15,"1.21","2011",1.97148120540447,13
"13","b_200",16,"1.211","2012-2013",2.70160074003829,28
"14","b_200",17,"1.211","2013-2014",2.37141390072058,23
"15","b_200",18,"1.211","2014-2015",2.47327742842362,23
"16","b_200",19,"1.211","2015-2016",2.32230052825256,18
"17","b_200",20,"1.211","2016-2017",2.33843083997269,21
"18","b_200",21,"1.211","2017-2018",2.60971427934919,31
"19","b_200",22,"1.211","2018",2.22326001490494,19
"20","b_200",5,"1.21","2001-2002",2.22579808494592,21
"21","b_200",6,"1.21","2002-2003",2.29069019799196,19
"22","b_200",7,"1.21","2003-2004",2.33025388170103,22
"23","b_200",8,"1.21","2004-2005",2.86012336253617,26
"24","b_200",9,"1.21","2005-2006",2.29269910657565,20
"25","b_1054",10,"1.211","2016-2017",2.6714443253126,30
"26","b_1054",11,"1.211","2017-2018",2.64046175771152,31
"27","b_1054",12,"1.211","2018-2019",2.57667243486747,26
"28","b_1054",13,"1.211","2019-2020",2.65746146114495,28
"29","b_1054",14,"1.211","2020",2.16512343543602,11
"30","b_1054",5,"1.21","2011",1.72673701453867,10
"31","b_1054",6,"1.211","2012-2013",2.69401884764499,26
"32","b_1054",7,"1.211","2013-2014",2.38481864385452,19
"33","b_1054",8,"1.211","2014-2015",2.69324885765966,26
"34","b_1054",9,"1.211","2015-2016",2.84525937933039,30
"35","b_914",5,"1.1","2009-2010",1.97962965054786,25
"36","b_914",6,"1.11-1.1","2010-2011",2.72296279549032,33
"37","b_914",7,"1.11","2011",1.7570644913305,8
"38","b_333",5,"2.21-2.2","2011-2012",2.65540221549672,23
"39","b_1047",10,"1.1","2007-2008",2.56561862033008,25
"40","b_1047",11,"1.1","2008-2009",2.8425438518748,31
"41","b_1047",12,"1.1","2009-2010",2.63024815544582,29
"42","b_1047",13,"1.1-1.12","2010-2011",2.34791351823025,16
"43","b_1047",14,"1.12","2011-2012",2.45448522480817,21
"44","b_1047",15,"1.12","2012",2.38028494149472,16
"45","b_1047",5,"1.1","2002-2003",3.1301446971052,45
"46","b_1047",6,"1.1","2003-2004",3.19491154406216,41
"47","b_1047",7,"1.1","2004-2005",2.94592487351421,32
"48","b_1047",8,"1.1","2005-2006",2.86241807850437,32
"49","b_1047",9,"1.1","2006-2007",2.49134466958343,22
"50","b_754",5,"2.2","2008-2009",2.51052924716203,14
"51","b_754",6,"2.2","2009-2010",2.79805507611992,23
"52","b_754",7,"2.2-2.21","2010-2011",3.17562663984529,30
"53","b_754",8,"2.21-2.2","2011-2012",1.18138720202038,7
"54","b_1086",10,"1.1","2006-2007",2.42954397307229,27
"55","b_1086",11,"1.1","2007-2008",2.24767998751079,21
"56","b_1086",12,"1.1","2008-2009",2.53867400162676,27
"57","b_1086",13,"1.1","2009-2010",2.2040071530397,25
