"","phenotype","season","Vplate","Vplate_constraint","Vmom","Vmom_constraint","VA","VA_constraint","VI","VI_constraint","VR","VR_constraint","heritability","heritability_se","VA_LRT_chi","VA_LRT_p","p_adjust"
"1","c_Alphaproteobacteria","dry",1.03513793696923e-05,"Positive",1.88652862528161e-11,"Boundary",6.52939837804678e-12,"Boundary",2.37434818400943e-06,"Positive",0.000102021838619658,"Positive",5.69022694840171e-08,9.60630638052916e-10,-4.57634596386924e-05,1,1
"2","c_Bacilli","dry",0.00094570093370844,"Positive",5.14939486069392e-06,"Positive",3.34131088602585e-05,"Positive",3.79977765248535e-10,"Boundary",0.00593715193969231,"Positive",0.00482749628585537,0.00381685303861472,1.59713162697153,0.206310175119816,0.210563993163524
"3","c_Gammaproteobacteria","dry",7.60070062899659e-05,"Positive",2.14802836670176e-05,"Positive",8.27615740123161e-05,"Positive",5.43119892741615e-05,"Positive",0.00146750802863248,"Positive",0.0486241038148233,0.0171950736516483,9.44629301336681,0.00211576288532467,0.00268539135445054
"4","f_Acidaminococcaceae","dry",3.54777818174515e-05,"Positive",3.41656567565605e-06,"Positive",8.9461103554423e-05,"Positive",4.19665520541852e-05,"Positive",0.000884801757771151,"Positive",0.0847873082494275,0.0201408385128569,26.730565317368,2.3389233361204e-07,5.93726693015178e-07
"5","f_Atopobiaceae","dry",2.61708278472332e-05,"Positive",7.29826202758586e-06,"Positive",5.2048426205404e-05,"Positive",1.84580571835982e-05,"Positive",0.000404732556844195,"Positive",0.102314909326006,0.022228992130921,34.4602267838272,4.3505091751328e-09,1.79458503474228e-08
"6","f_Bacteroidales_RF16_group","dry",2.59655379673637e-05,"Positive",1.26551374829036e-05,"Positive",0.000169800942598839,"Positive",0.00010087356331975,"Positive",0.00109547127049507,"Positive",0.120874856011501,0.0270400676709325,29.7250893527307,4.97862826520645e-08,1.49358847956194e-07
"7","f_Burkholderiaceae","dry",5.56318957507262e-06,"Positive",1.32978037553446e-06,"Positive",1.52063854744422e-05,"Positive",1.11974130162412e-05,"Positive",0.000183256523778387,"Positive",0.0702200613926314,0.0211153044712047,15.8551625851105,6.83797338152381e-05,0.000120885600851939
"8","f_Clostridiaceae_1","dry",8.6061119972142e-05,"Positive",8.6265056357227e-11,"Boundary",9.83734841593548e-06,"Positive",2.31531511160591e-05,"Positive",0.000852481362430953,"Positive",0.0101255929807516,0.00784403391757851,2.03602396319911,0.153610705536049,0.158411040084051
"9","f_Clostridiales_vadinBB60_group","dry",2.58839280584651e-05,"Positive",4.87111596898049e-11,"Boundary",2.54357931220556e-05,"Positive",4.96509205303669e-06,"Positive",0.000481369369377079,"Positive",0.0473088309181962,0.013131106143635,19.8738597179981,8.27237600153907e-06,1.67135760031095e-05
"10","f_Desulfovibrionaceae","dry",1.67454241063636e-05,"Positive",5.07768886140841e-11,"Boundary",8.61309600234472e-05,"Positive",5.52142437006566e-05,"Positive",0.000501783143877964,"Positive",0.130526408365538,0.0300139294457776,26.6570766400546,2.42959298124568e-07,6.01324262858306e-07
"11","f_Eggerthellaceae","dry",2.19733080691591e-05,"Positive",9.16148903437388e-11,"Boundary",2.79359626422464e-05,"Positive",1.60140511131775e-05,"Positive",0.00027424296664672,"Positive",0.0821244081651096,0.0200579815399976,26.7882745438401,2.27010581665965e-07,5.91422304866593e-07
"12","f_Enterobacteriaceae","dry",7.14372264530739e-06,"Positive",3.44454456258931e-11,"Boundary",3.89867456370535e-05,"Positive",8.0902140790805e-06,"Positive",0.000340393916803401,"Positive",0.0987970093262072,0.0232970538255687,13.3637130147399,0.000256539897765862,0.00040313412506064
"13","f_Erysipelotrichaceae","dry",5.54870617885872e-05,"Positive",9.03176936199405e-11,"Boundary",1.96851277781996e-05,"Positive",2.8349478816731e-05,"Positive",0.000892529997197387,"Positive",0.0197631575484152,0.0106016597779571,4.28528288154484,0.0384436848383219,0.041823349439493
"14","f_Family_XI_2II","dry",2.94446455141549e-05,"Positive",1.67578481950653e-06,"Positive",8.07320570803825e-05,"Positive",2.15637246117047e-05,"Positive",0.000528846818064896,"Positive",0.12190331244873,0.0244872814164154,30.5826875128187,3.1993588667234e-08,1.05578842601872e-07
"15","f_Lachnospiraceae","dry",0.000309384698943964,"Positive",2.65121450227938e-05,"Positive",0.000129826542354782,"Positive",0.00023076053192505,"Positive",0.0042221596749264,"Positive",0.0263947854516192,0.0131472162103626,5.6946016534348,0.0170171746240425,0.0195895382300024
"16","f_Pasteurellaceae","dry",2.43673253392216e-05,"Positive",4.46469283310632e-11,"Boundary",4.53327396140518e-05,"Positive",1.56410427260391e-05,"Positive",0.000441206160399537,"Positive",0.0860943328708255,0.019668853474852,31.5835027072972,1.9104571480355e-08,6.75483063055409e-08
"17","f_Prevotellaceae","dry",0.000743865407925854,"Positive",0.000433085363277132,"Positive",0.00283565120900641,"Positive",0.000596568051751751,"Positive",0.0112121638270378,"Positive",0.179229591782714,0.0331670052399907,30.2017193249449,3.89364144259829e-08,1.20459532130385e-07
"18","f_Ruminococcaceae","dry",0.000376076872227787,"Positive",0.000172994444147891,"Positive",0.00100545316917963,"Positive",0.00012738885044418,"Positive",0.00488737360932383,"Positive",0.15305362325441,0.0279023545079945,42.2078920712156,8.20681300695014e-11,7.38613170625513e-10
"19","f_vadinBE97","dry",5.89591906409453e-05,"Positive",4.07188971127914e-05,"Positive",0.000163909551823262,"Positive",0.00023599745246684,"Positive",0.00203536755927535,"Positive",0.064659808039398,0.0228345882369589,12.7621509651435,0.000353703921397885,0.00053099958682229
"20","f_Veillonellaceae","dry",0.000132515698514976,"Positive",4.2831917232414e-05,"Positive",0.00026521861312544,"Positive",0.000215150221422611,"Positive",0.00393561211573597,"Positive",0.0577651129321564,0.0172165792758051,19.3811840369672,1.07056672871142e-05,2.11972212284861e-05
"21","g_[Eubacterium]_coprostanoligenes_group","dry",3.66939456606128e-05,"Positive",7.96183445239685e-11,"Boundary",8.24275313483619e-05,"Positive",3.1547798692527e-05,"Positive",0.000786797779777993,"Positive",0.0879257824219718,0.0213293924798093,19.1984535990778,1.17808787198914e-05,2.28687645739068e-05
"22","g_[Eubacterium]_hallii_group","dry",2.72728373248284e-05,"Positive",2.00270299843874e-06,"Positive",1.33347851213397e-05,"Positive",2.88053579163587e-05,"Positive",0.000285025436291009,"Positive",0.0374109057180598,0.018128958892084,5.15951057201164,0.0231194114783688,0.0257170981613316
"23","g_[Eubacterium]_ruminantium_group","dry",9.40272400608674e-06,"Positive",5.72611769886039e-11,"Boundary",1.23207717520426e-05,"Positive",1.68840646128659e-05,"Positive",0.000565861638941078,"Positive",0.0203827930338249,0.0114528908592266,3.31974404756329,0.0684524853721106,0.0713346952825153
"24","g_Acidaminococcus","dry",3.43512369943812e-05,"Positive",4.77644244876113e-06,"Positive",9.39223130683938e-05,"Positive",5.65266968710802e-05,"Positive",0.000910559550263862,"Positive",0.085373347121603,0.0214401804945289,23.4887803285164,1.25644345339015e-06,2.82699777012784e-06
"25","g_Alloprevotella","dry",6.58788194321585e-05,"Positive",1.12179402501784e-10,"Boundary",0.000209989536973272,"Positive",0.000214870896387691,"Positive",0.00159939639902506,"Positive",0.10046693644993,0.0277113547534476,17.336680651686,3.1308486895032e-05,5.84818906152485e-05
"26","g_Bifidobacterium","dry",0.00160847031339259,"Positive",1.2343036329064e-05,"Positive",0.00494681110363766,"Positive",0.00164927441515663,"Positive",0.0251460370993187,"Positive",0.148272655272513,0.0267046317126532,43.1428817992346,5.08847408653423e-11,5.03758934566889e-10
"27","g_Butyricicoccus","dry",1.14259572606301e-05,"Positive",6.69782021529586e-07,"Positive",7.53818961535088e-07,"Positive",8.80641759122626e-06,"Positive",0.00019504060969325,"Positive",0.00347868407662146,0.00813679819142565,0.215374942490598,0.642586805469863,0.642586805469863
"28","g_CAG-873","dry",0.000243182727446356,"Positive",1.8751969994095e-05,"Positive",0.000355587032360915,"Positive",0.000169016125420626,"Positive",0.00324630593131988,"Positive",0.0881727761307185,0.0206064826955721,24.2544181025005,8.44132314603563e-07,1.94346742199425e-06
"29","g_Campylobacter","dry",6.31753016044693e-06,"Positive",9.19884656292757e-06,"Positive",3.61428853331291e-05,"Positive",5.55510721900496e-05,"Positive",0.000318941075355127,"Positive",0.0848123097068047,0.0287374415492853,12.2672121136493,0.000460986437570865,0.000661415323471241
"30","g_Candidatus_Methanogranum","dry",0.000181693848533463,"Positive",5.37559180164746e-05,"Positive",0.000841721175440489,"Positive",0.00051613343614478,"Positive",0.00376362707088625,"Positive",0.157127486780561,0.031852572024742,38.351418963859,5.90851145787497e-10,3.65589146456014e-09
