"","phenotype","season","Vplate","Vplate_constraint","Vmom","Vmom_constraint","VA","VA_constraint","VI","VI_constraint","VR","VR_constraint","heritability","heritability_se","VA_LRT_chi","VA_LRT_p","p_adjust"
"1","c_Alphaproteobacteria","wet",2.22891802145437e-05,"Positive",1.94812798642987e-11,"Boundary",2.8633797642894e-06,"Positive",6.21615675744392e-07,"Positive",0.000192516282976087,"Positive",0.0131172911849182,0.00582550166516222,6.03552243592276,0.0140208007899978,0.0165490098038906
"2","c_Bacilli","wet",0.00219534121775624,"Positive",1.09664972055165e-09,"Boundary",3.64927540890002e-05,"Positive",7.24224110673923e-05,"Positive",0.0108372206240039,"Positive",0.00277691396670951,0.00311982510650926,1.17485700039106,0.278405500566848,0.290005729757133
"3","c_Gammaproteobacteria","wet",0.000158166316546367,"Positive",1.89749781611561e-10,"Boundary",0.000180829166798271,"Positive",1.29302555303729e-05,"Positive",0.00187512950411059,"Positive",0.0811965271004356,0.0155047843599899,37.3546710842711,9.84847203788775e-10,6.15529502367984e-09
"4","f_Acidaminococcaceae","wet",8.97654590741285e-05,"Positive",1.58164894841943e-05,"Positive",9.30648360022184e-05,"Positive",2.43781191508716e-05,"Positive",0.00130156597421161,"Positive",0.0610424982530411,0.0151588563984282,21.8277982531799,2.98247654695327e-06,6.21349280615265e-06
"5","f_Atopobiaceae","wet",7.31588482995784e-05,"Positive",8.26214981971743e-06,"Positive",4.20954623494189e-05,"Positive",1.49045814733542e-05,"Positive",0.00058126425058286,"Positive",0.0584914861907655,0.0146197771089139,23.3376447859337,1.35913729126802e-06,3.0889483892455e-06
"6","f_Bacteroidales_RF16_group","wet",7.41677633071258e-05,"Positive",2.89076426217958e-06,"Positive",0.000112883430690042,"Positive",4.43658253575822e-05,"Positive",0.000892715263227552,"Positive",0.100160711891474,0.0200857108980279,39.8540337610029,2.73668421257867e-10,2.10514170198359e-09
"7","f_Burkholderiaceae","wet",3.9268892694607e-05,"Positive",4.82669005639758e-11,"Boundary",2.48699356239685e-05,"Positive",2.14626117024788e-05,"Positive",0.000476979148807456,"Positive",0.0442068816167782,0.013659748749696,15.9587392246322,6.47382102880734e-05,0.000109725780149277
"8","f_Clostridiaceae_1","wet",0.000471179103350702,"Positive",4.75099765610228e-06,"Positive",8.68219924784299e-05,"Positive",6.77307109476873e-05,"Positive",0.00273010178004836,"Positive",0.0258353837839291,0.00868864205379892,13.0240044010643,0.000307523525942099,0.000473113116833998
"9","f_Clostridiales_vadinBB60_group","wet",6.95272292655794e-05,"Positive",5.32206847919351e-07,"Positive",1.48955096226909e-05,"Positive",1.13352360932492e-05,"Positive",0.000378824831319374,"Positive",0.031351376425618,0.0102464912431074,14.0314192776714,0.000179781410233004,0.000285367317830165
"10","f_Desulfovibrionaceae","wet",3.17677819947073e-05,"Positive",9.18113525438571e-11,"Boundary",9.66659785560481e-05,"Positive",7.6822099546077e-05,"Positive",0.000907290509138569,"Positive",0.0868871385965299,0.0224094119523009,19.9444902680843,7.97233637994665e-06,1.47635858887901e-05
"11","f_Eggerthellaceae","wet",5.43212922405214e-05,"Positive",7.94336550461154e-06,"Positive",3.11559698017034e-05,"Positive",1.5702885789458e-05,"Positive",0.000445232698917892,"Positive",0.0562020756924749,0.0147158056058626,24.696649434336,6.71007268304713e-07,1.63660309342613e-06
"12","f_Enterobacteriaceae","wet",3.60279009212295e-05,"Positive",7.03141753140091e-11,"Boundary",3.15954359631384e-05,"Positive",8.94689140826307e-06,"Positive",0.000694852892945147,"Positive",0.0409573322518015,0.0121287931121509,12.1466182302538,0.0004917695355664,0.000673656898036164
"13","f_Erysipelotrichaceae","wet",9.71167725611435e-05,"Positive",1.87123340943881e-07,"Positive",3.87139124316331e-05,"Positive",2.88160957999379e-05,"Positive",0.0012853432565874,"Positive",0.0266959882421427,0.0100541079109559,8.62382065066049,0.00331795184103645,0.00419993903928665
"14","f_Family_XI_2II","wet",0.0001331799069553,"Positive",1.11851556066665e-06,"Positive",9.15152476374236e-05,"Positive",2.12643215020637e-05,"Positive",0.00123951885418063,"Positive",0.0615602326170376,0.013533440078598,31.5355952003883,1.95817603243498e-08,7.25250382383326e-08
"15","f_Lachnospiraceae","wet",0.000815663009074649,"Positive",2.9892093637675e-05,"Positive",0.000153492607085917,"Positive",0.000251290149178784,"Positive",0.00752150250142144,"Positive",0.0174983356718252,0.00928825618784688,4.18109619170718,0.0408772531848245,0.0449200584448621
"16","f_Pasteurellaceae","wet",7.64979908577942e-05,"Positive",6.31561627862082e-11,"Boundary",5.24899025800048e-05,"Positive",1.45370113501692e-05,"Positive",0.000624116577110279,"Positive",0.0683781420093468,0.0148208325127025,34.9247405195929,3.4269851401092e-09,1.63189768576629e-08
"17","f_Prevotellaceae","wet",0.00141475323072726,"Positive",1.78893049969623e-09,"Boundary",0.00202850091190866,"Positive",0.00122735966534082,"Positive",0.0176784201399013,"Positive",0.0907645831255147,0.0225371556679638,20.2988963482712,6.62387810446141e-06,1.24978832159649e-05
"18","f_Ruminococcaceae","wet",0.000951416248666951,"Positive",7.3790757466814e-10,"Boundary",0.000773611801486918,"Positive",0.000377654409335979,"Positive",0.00729208883833896,"Positive",0.082344925299327,0.0183241140870662,33.8454233604789,5.9669293950293e-09,2.53516078500364e-08
"19","f_vadinBE97","wet",9.0728556102017e-05,"Positive",2.19770969706408e-10,"Boundary",0.000156495821711068,"Positive",0.000212029668101518,"Positive",0.00217180239125173,"Positive",0.0594802173105759,0.0182575770317193,18.4090846830004,1.78206329596309e-05,3.18225588564838e-05
"20","f_Veillonellaceae","wet",0.000540342533132186,"Positive",0.000112501980144573,"Positive",0.000129695361470601,"Positive",0.000282547919038884,"Positive",0.00497290585009233,"Positive",0.0214798771115118,0.0118835336696927,4.54350725685799,0.0330438220894865,0.0371278899881871
"21","g_[Eubacterium]_coprostanoligenes_group","wet",7.32530531725084e-05,"Positive",9.14142887298065e-11,"Boundary",4.00794557930463e-05,"Positive",4.40474593888041e-05,"Positive",0.000903366678152216,"Positive",0.0377841895338795,0.0135207630599588,9.59919012633327,0.00194663206527634,0.00259550942036845
"22","g_[Eubacterium]_hallii_group","wet",6.35834719306757e-05,"Positive",4.50259259217138e-06,"Positive",2.72153440406194e-05,"Positive",1.80296056648865e-05,"Positive",0.000638082069753325,"Positive",0.0362188849526116,0.0125939213645838,9.3614918354142,0.00221591713572034,0.00291568044173729
"23","g_[Eubacterium]_ruminantium_group","wet",2.70460527583575e-05,"Positive",6.87201920355903e-11,"Boundary",1.64526113539728e-05,"Positive",1.39095343132094e-05,"Positive",0.00067910096401518,"Positive",0.0223386356312732,0.00926195944012228,7.59038089679962,0.00586805499414189,0.00733506874267736
"24","g_Acidaminococcus","wet",0.000112819793560773,"Positive",2.41640054865042e-05,"Positive",0.00012306140116449,"Positive",4.05864962888188e-05,"Positive",0.00131649673430488,"Positive",0.0760987184568855,0.018135409168689,25.335810407807,4.8168268118598e-07,1.23508379791277e-06
"25","g_Alloprevotella","wet",0.000102808115916802,"Positive",2.05333464863417e-10,"Boundary",0.000261551486309165,"Positive",0.000111467386928069,"Positive",0.00202912928213452,"Positive",0.104413585126186,0.0225204884052192,29.4627948302659,5.70004845545924e-08,1.78126514233101e-07
"26","g_Bifidobacterium","wet",0.00396901121364965,"Positive",3.42875809258583e-09,"Boundary",0.00300187818657748,"Positive",0.00227651579124906,"Positive",0.0338833879399518,"Positive",0.0695994144784357,0.0173133675733386,27.850458034467,1.31063038311119e-07,3.54224427867889e-07
"27","g_Butyricicoccus","wet",2.74367855976279e-05,"Positive",1.76259029524847e-07,"Positive",1.26335864420857e-06,"Positive",4.22255924367987e-06,"Positive",0.000252598134896982,"Positive",0.00442202127936426,0.00473688894935956,1.18133685707289,0.277084006006595,0.290005729757133
"28","g_CAG-873","wet",0.000129993367146442,"Positive",1.58967769438221e-05,"Positive",0.000318987201381886,"Positive",3.49027890417214e-05,"Positive",0.00174374467177824,"Positive",0.142181267836784,0.0232150030434707,50.7972068539966,1.02418074021671e-12,5.12090370108355e-11
"29","g_Campylobacter","wet",1.70723757430866e-05,"Positive",1.27634297702364e-05,"Positive",2.98423040158021e-05,"Positive",6.91192917613452e-05,"Positive",0.000446917697186259,"Positive",0.0518351943431067,0.0223531644274008,7.50247236208816,0.00616143517705026,0.00760671009512378
"30","g_Candidatus_Methanogranum","wet",0.000510210882555029,"Positive",4.60173802483755e-10,"Boundary",0.00062954278735116,"Positive",0.000455635574599101,"Positive",0.00454749126311234,"Positive",0.102483312089556,0.0233951771407038,29.602973632318,5.30235323425998e-08,1.7401751688374e-07
"31","g_Christensenellaceae_R-7_group","wet",4.70843405443943e-05,"Positive",8.00848471211643e-11,"Boundary",0.000108977619176822,"Positive",3.71768849430441e-05,"Positive",0.000791407812929635,"Positive",0.110676870197866,0.0217099420190715,33.8864502261422,5.84241766077298e-09,2.53516078500364e-08
"32","g_Collinsella","wet",0.000146516832360782,"Positive",2.71440513749045e-06,"Positive",0.000139198364748014,"Positive",0.000151260096034594,"Positive",0.00125683312391724,"Positive",0.0820492143852562,0.0217021559690931,23.6912529922265,1.13095393017293e-06,2.63012541900681e-06
"33","g_Coprococcus_2","wet",3.45846692067414e-05,"Positive",6.97035308771394e-11,"Boundary",2.19129603198883e-05,"Positive",1.43579540520111e-05,"Positive",0.000688818433298499,"Positive",0.0288452123179818,0.00959304901438853,14.5109163821035,0.000139349694720958,0.000228442122493374
"34","g_Coriobacteriaceae_UCG-003","wet",4.89056789207709e-05,"Positive",3.40406392754697e-06,"Positive",3.52818151093532e-05,"Positive",1.91715875939542e-05,"Positive",0.000390858329538391,"Positive",0.0709009093768931,0.0176252501498637,22.7491904454509,1.84581881956802e-06,4.10181959904005e-06
"35","g_Dialister","wet",0.000206468034363759,"Positive",1.02593434299308e-05,"Positive",3.56286070663363e-05,"Positive",4.18595137015949e-05,"Positive",0.00221670460633987,"Positive",0.014189462658245,0.0073367652173774,5.15706638612028,0.0231519714047838,0.026611461384809
"36","g_Elusimicrobium","wet",6.04523510693307e-05,"Positive",2.58234003319972e-07,"Positive",2.00968678983203e-05,"Positive",0.000128577597225402,"Positive",0.00198398215542834,"Positive",0.00916256422854482,0.00996125043403119,0.945343632090953,0.330907374572597,0.341141623270719
"37","g_Enterorhabdus","wet",3.60241130110627e-05,"Positive",2.07746984834174e-06,"Positive",4.34302265381041e-06,"Positive",4.60548962317163e-06,"Positive",0.000234229232672539,"Positive",0.0154402482672337,0.00766951986408168,5.97634776229097,0.0144989966558438,0.0168592984370277
"38","g_Erysipelotrichaceae_UCG-004","wet",9.89252576999151e-05,"Positive",3.4826136148589e-06,"Positive",3.38024504138197e-05,"Positive",2.73076889556435e-05,"Positive",0.000756207579834777,"Positive",0.0367527562158453,0.0120567917866245,14.1080564979638,0.000172602925311849,0.000278391815019111
"39","g_Faecalibacterium","wet",0.000513460718576962,"Positive",3.72784964007146e-10,"Boundary",0.00026762858696011,"Positive",0.000143265120730571,"Positive",0.00368390455452316,"Positive",0.0580758517318355,0.0154471761662273,21.6758400980543,3.22831708077231e-06,6.58840220565778e-06
"40","g_Family_XIII_AD3011_group","wet",5.1766215164632e-05,"Positive",6.7552165271245e-11,"Boundary",8.28158504449093e-05,"Positive",1.40998930371537e-05,"Positive",0.000667558387107775,"Positive",0.101460120198432,0.0182185230838839,47.1218911843753,6.67066402115779e-12,1.41229884929674e-10
"41","g_Family_XIII_UCG-001","wet",8.13877006196331e-05,"Positive",1.63624758120457e-06,"Positive",2.13724228646611e-05,"Positive",1.0869550712648e-05,"Positive",0.000684478513310312,"Positive",0.0267240657477,0.00873584593419903,12.8259291283321,0.000341848709008441,0.000517952589406729
"42","g_GCA-900066575","wet",1.03531303643292e-05,"Positive",1.03716165444798e-06,"Positive",2.54624250256646e-06,"Positive",2.22877988853973e-06,"Positive",0.000106816912092071,"Positive",0.0207041503068412,0.00921164232080011,7.10429804754676,0.0076899333675946,0.00926497996095735
"43","g_Helicobacter","wet",2.40208908186577e-05,"Positive",3.32180461539835e-11,"Boundary",2.82229562526722e-05,"Positive",2.17607952997206e-05,"Positive",0.000328264611865286,"Positive",0.0701593612360295,0.0185827916677821,19.0615390101157,1.26570132423787e-05,2.30127513497795e-05
"44","g_Lachnoclostridium","wet",2.15629755874323e-05,"Positive",1.1879188241634e-06,"Positive",3.36246713316082e-06,"Positive",7.07020741525875e-06,"Positive",0.000268006801602713,"Positive",0.0111639264126491,0.00869231578740676,1.29821702137997,0.254539162147581,0.270786342710193
"45","g_Lachnospira","wet",1.82998862586123e-05,"Positive",5.01424260433818e-06,"Positive",1.75206753545649e-05,"Positive",7.57225740466537e-07,"Positive",0.000294433851769695,"Positive",0.0521408507716202,0.0127771917447755,24.867394498986,6.14123896736096e-07,1.53530974184024e-06
"46","g_Lachnospiraceae_FCS020_group","wet",7.52895462111022e-06,"Positive",1.67429945362711e-11,"Boundary",6.77218786962405e-07,"Positive",2.56553607196507e-06,"Positive",0.00016545622754072,"Positive",0.0038428567800899,0.00520142047726561,0.542674451178755,0.461326455796503,0.465986318986367
"47","g_Lachnospiraceae_ND3007_group","wet",2.87971366484053e-05,"Positive",1.24810293663602e-06,"Positive",1.0199790987871e-05,"Positive",3.26965081122781e-06,"Positive",0.000249237845385385,"Positive",0.0348410006923732,0.0108068179408113,12.3802379565896,0.000433901849070994,0.000602641457043047
