"","phenotype","Vplate","Vplate_constraint","Vmom","Vmom_constraint","VA","VA_constraint","VI","VI_constraint","VR","VR_constraint","heritability","heritability_se","VA_LRT_chi","VA_LRT_p","p_adjust"
"1","n1",10.3293628596091,"Positive",9.56509890884503e-05,"Boundary",35.5426977309384,"Positive",20.4389603867963,"Positive",153.141334896934,"Positive",0.161960814216952,0.0274918029860724,51.8650260201684,5.94524429686771e-13,5.4696247531183e-12
"2","n10",0.00376412351981424,"Positive",9.96708656192348e-06,"Positive",0.00133618508075566,"Positive",0.000989805597498168,"Positive",0.0495336195707282,"Positive",0.024017548000799,0.00731857732647412,16.4604056066601,4.96767656347208e-05,7.61710406399052e-05
"3","n100",0.101427619277147,"Positive",9.14093980241119e-07,"Boundary",0.468155146874443,"Positive",0.366597801210781,"Positive",2.20711423911079,"Positive",0.148937671950883,0.0310543234351336,24.9826229171522,5.78493528635704e-07,1.37641563709874e-06
"4","n101",0.0306593748404588,"Positive",0.00290247837835599,"Positive",0.0178093852939469,"Positive",0.0975248410290009,"Positive",0.606941214174882,"Positive",0.0235624590662543,0.0165937141732236,1.93180695755655,0.164560890172489,0.169473155550772
"5","n102",0.0221912936962594,"Positive",2.61067388996692e-07,"Boundary",0.183608481957844,"Positive",0.0782693784289899,"Positive",0.95189870871503,"Positive",0.148554382926645,0.024129439877909,64.5477558109997,8.88178419700125e-16,2.45137243837235e-14
"6","n103",0.0024039847979543,"Positive",1.7351023808221e-08,"Boundary",0.00454816646740619,"Positive",0.0251079414835919,"Positive",0.171464843822188,"Positive",0.0223469721022297,0.0134195705412492,3.92638275360878,0.0475340843572754,0.0516512097740472
"7","n104",0.066139674222645,"Positive",0.00501400197161829,"Positive",0.135962971558685,"Positive",0.304500689693976,"Positive",2.0581560854762,"Positive",0.0529085445221963,0.0183313019082896,12.6563213254958,0.000374297967239756,0.000511417024545409
"8","n105",0.0216535766425638,"Positive",1.16204223925996e-07,"Boundary",0.0211827763440882,"Positive",0.0203878424229687,"Positive",0.262036579956323,"Positive",0.065125494312674,0.0166689797862168,20.1473388193845,7.1699933325009e-06,1.30191984195411e-05
"9","n106",0.00638327039394914,"Positive",0.00029037249944369,"Positive",0.0130067702842412,"Positive",0.00568460235665069,"Positive",0.228019041983662,"Positive",0.0513322361779605,0.0116108353450401,32.0820967365798,1.47793032256871e-08,4.43379096770613e-08
"10","n107",0.00741885620859952,"Positive",0.00168895882804109,"Positive",0.00818860742222737,"Positive",0.0155371196389512,"Positive",0.188269994380266,"Positive",0.0370351716334441,0.0144923895955856,8.20372597232927,0.00418044524545425,0.00497328830924729
"11","n108",0.0135414369416479,"Positive",0.00202114138726099,"Positive",0.0337299286328182,"Positive",0.0129291362041394,"Positive",0.229939517241716,"Positive",0.115449735295968,0.0217899738626472,38.0928004184389,6.74585831639263e-10,2.82099529594601e-09
"12","n109",0.0596681487372122,"Positive",0.000943395340230046,"Positive",0.0592415559351136,"Positive",0.0340578023815058,"Positive",0.508691247961347,"Positive",0.0894074308441914,0.0188803811917786,33.290109835074,7.93853516256604e-09,2.43448411652025e-08
"13","n11",0.012043392352705,"Positive",0.00122308673969764,"Positive",0.0112529557758562,"Positive",0.0105011747474282,"Positive",0.140390608396426,"Positive",0.0641518592903174,0.0172407647298021,17.601797200623,2.72330861513792e-05,4.52791070950642e-05
"14","n110",0.0514963473759446,"Positive",0.00553668728758726,"Positive",0.142840507652853,"Positive",0.065393156362079,"Positive",0.590852406125991,"Positive",0.166846536715798,0.0288963649559469,41.4118742103547,1.23306143073876e-10,6.07723133721245e-10
"15","n111",0.00708914113168746,"Positive",0.000923451733429809,"Positive",0.0223604821685201,"Positive",0.00706680557176231,"Positive",0.0982250300482452,"Positive",0.164821412263388,0.0269088857058852,47.4339590253439,5.68889380048176e-12,4.13193339192886e-11
"16","n112",0.181782221180468,"Positive",0.00960578315101114,"Positive",0.250185337749265,"Positive",0.235874069684773,"Positive",1.8988004003048,"Positive",0.0971122950894276,0.0224477111410396,25.5987215144924,4.20317792126923e-07,1.03578313059849e-06
"17","n113",0.00827609264867415,"Positive",2.48430244406564e-08,"Boundary",0.00934860559267409,"Positive",0.0126117823262622,"Positive",0.245501669115898,"Positive",0.0339039221128031,0.0125420846013303,7.38824733760703,0.00656514303479594,0.00767787914238847
"18","n114",0.0953224706068269,"Positive",0.0161009035873999,"Positive",0.130944711431346,"Positive",0.176798015668715,"Positive",0.909079589630097,"Positive",0.0985847063732733,0.026829332007454,19.4419591872793,1.03703506483255e-05,1.81152960692268e-05
"19","n115",0.0088212930610791,"Positive",3.3680584279061e-08,"Boundary",0.0154375069652641,"Positive",0.0228545862386818,"Positive",0.332835467640416,"Positive",0.0406304833877658,0.0136913212379699,12.3757506102666,0.00043494591353932,0.000582743068625496
"20","n116",0.000342349322625594,"Positive",2.89236180808015e-09,"Boundary",0.000289867029461995,"Positive",0.0021604070821237,"Positive",0.0285826572069335,"Positive",0.00923870629415784,0.00820083752684553,1.64201749487256,0.20004888442145,0.204494415186371
"21","n117",0.00111255775301298,"Positive",7.01257651149318e-05,"Positive",0.000693549713159952,"Positive",0.0021892705186801,"Positive",0.0603593716037805,"Positive",0.0107652472643798,0.00694076136365258,2.69898723605002,0.100412012519738,0.10418690020845
"22","n118",0.0273383618245352,"Positive",0.00285213603860126,"Positive",0.0466120623428374,"Positive",0.0352056521693716,"Positive",0.214808833958455,"Positive",0.1426243302353,0.029306564169866,30.1706466767464,3.95652579587846e-08,1.13750116631506e-07
"23","n119",0.0222265280612741,"Positive",5.80782189874268e-08,"Boundary",0.0313496504530114,"Positive",0.0250844415447971,"Positive",0.573935743401586,"Positive",0.048038342562599,0.0126103662415284,21.5325845831612,3.47867372485489e-06,7.05966138279374e-06
"24","n12",0.0101033757504505,"Positive",1.43920887756022e-08,"Boundary",0.00844574687727446,"Positive",0.00458835935953871,"Positive",0.142224302234803,"Positive",0.0510743530129422,0.0126720662208687,20.5971135756263,5.66815092117867e-06,1.08639559322591e-05
"25","n120",0.0322074800239633,"Positive",1.46224727954634e-07,"Boundary",0.0570855477179167,"Positive",0.0531078690425226,"Positive",1.44500984027258,"Positive",0.0359614188860176,0.0107757077736185,16.1862142312275,5.74103989733343e-05,8.70619237178037e-05
"26","n121",0.011691659375861,"Positive",4.34853765748364e-08,"Boundary",0.0186316402030133,"Positive",0.0072146757576337,"Positive",0.126246628242116,"Positive",0.113756939597231,0.020387390337442,42.6876241719001,6.42172981457634e-11,3.40845659389052e-10
"27","n122",0.0448174776217664,"Positive",2.83186576458413e-07,"Boundary",0.064485936358883,"Positive",0.0769713483810721,"Positive",1.14490140532153,"Positive",0.0484428163649876,0.0130581770995494,24.3912546462052,7.86248074091667e-07,1.83902091906186e-06
"28","n123",0.000247461566136816,"Positive",3.17391792641239e-05,"Positive",0.000266359326950273,"Positive",0.000991710687010254,"Positive",0.0174297379504109,"Positive",0.0140432964958273,0.00845709725733553,3.88559670379618,0.0487019533515125,0.0525067934570994
"29","n124",0.0749543804081271,"Positive",0.0174588784618012,"Positive",0.155132091637756,"Positive",0.0524308577553132,"Positive",1.19808568156166,"Positive",0.103555195343708,0.0178840517027936,63.6619094839443,1.4432899320127e-15,2.84534300882504e-14
"30","n125",0.0229409338350543,"Positive",5.09725581436501e-08,"Boundary",0.0196273010160362,"Positive",0.0157973945857735,"Positive",0.50371677302277,"Positive",0.0349189000585017,0.0100949376291453,16.9153201000336,3.90848598865734e-05,6.27175658645015e-05
