"","phenotype","Vplate","Vplate_constraint","Vmom","Vmom_constraint","VA","VA_constraint","VI","VI_constraint","VR","VR_constraint","heritability","heritability_se","VA_LRT_chi","VA_LRT_p","p_adjust","n_samples","n_snames","model_number"
"1","c_Alphaproteobacteria",9.82058587774412e-06,"Positive",1.83556117115868e-11,"Boundary",1.16091083801788e-11,"Boundary",1.16091083801788e-11,"Boundary",0.000181392298816207,"Positive",6.07129894760415e-08,1.87931208669898e-09,-5.72842327528633e-06,1,1,974,200,"0.6-3"
"2","c_Bacilli",0.00142064824741829,"Positive",9.79191746956772e-10,"Boundary",6.1929524845103e-10,"Boundary",9.98047872951843e-05,"Positive",0.00967648721018799,"Positive",5.53093208050115e-08,2.38760386761312e-09,-4.39545055996859e-06,1,1,974,200,"0.6-3"
"3","c_Gammaproteobacteria",6.77998170855419e-05,"Positive",2.33231724835057e-05,"Positive",1.73675913449563e-05,"Positive",0.000113095208013419,"Positive",0.00118401782248286,"Positive",0.0123559666494673,0.0717279763080733,0.0289129913653596,0.864980090406822,0.90035939742615,974,200,"0.6-3"
"4","f_Acidaminococcaceae",5.7953737876762e-05,"Positive",1.04776543121137e-10,"Boundary",0.000135211139807138,"Positive",1.10931908251305e-10,"Boundary",0.00103541403671998,"Positive",0.110054889012136,0.0325139858052142,5.11596046847899,0.0237067401305094,0.480061487642816,974,200,"0.6-3"
"5","f_Atopobiaceae",5.60767625243419e-05,"Positive",1.76651158419497e-05,"Positive",2.13002630228354e-05,"Positive",1.40007295138342e-05,"Positive",0.000506697276649514,"Positive",0.0345929416938338,0.0675050814791476,0.293117208303556,0.588229839932307,0.726494868963508,974,200,"0.6-3"
"6","f_Bacteroidales_RF16_group",5.55407689947386e-05,"Positive",8.8330268368048e-11,"Boundary",0.00020610887853458,"Positive",1.82035231367502e-05,"Positive",0.00087289002873267,"Positive",0.178798593519144,0.0897330121185922,5.33191781912956,0.0209383329859103,0.480061487642816,974,200,"0.6-3"
"7","f_Burkholderiaceae",1.75235156138687e-05,"Positive",8.31139936582752e-06,"Positive",4.85286564274662e-05,"Positive",1.60507373179161e-10,"Boundary",0.000346046237030751,"Positive",0.115431745230051,0.0511369876897821,2.81143602448265,0.0935945603519673,0.532140798573021,974,200,"0.6-3"
"8","f_Clostridiaceae_1",0.000105582610351777,"Positive",1.22849780473613e-10,"Boundary",7.76970246706127e-11,"Boundary",3.44427412597196e-05,"Positive",0.00121401587913894,"Positive",5.73815711061182e-08,2.25851047295871e-09,-1.36066500999732e-06,1,1,974,200,"0.6-3"
"9","f_Clostridiales_vadinBB60_group",3.64395341466582e-05,"Positive",1.44196917530964e-05,"Positive",2.41818762356573e-05,"Positive",1.21116707547105e-05,"Positive",0.000597555425027546,"Positive",0.0353170537598339,0.0684701904877845,0.261065381793742,0.609389166304228,0.726494868963508,974,200,"0.6-3"
"10","f_Desulfovibrionaceae",0.00012067006774913,"Positive",1.63304480443274e-05,"Positive",6.55402538071256e-05,"Positive",1.98754440060743e-05,"Positive",0.000731071404305023,"Positive",0.0687373937279556,0.0680559458779743,1.37519905189129,0.240920619240633,0.545654162484544,974,200,"0.6-3"
"11","f_Eggerthellaceae",2.26885024788685e-05,"Positive",8.36670779540852e-06,"Positive",1.60498532046078e-05,"Positive",6.06549237191122e-06,"Positive",0.000260673525209065,"Positive",0.0511395759015335,0.0632495511340249,0.958086945801369,0.327669341502429,0.575785242823645,974,200,"0.6-3"
"12","f_Enterobacteriaceae",2.5587056507953e-05,"Positive",8.74197484843855e-07,"Positive",1.54255670091059e-11,"Boundary",7.72319461247719e-06,"Positive",0.000241024458441835,"Positive",5.60503884485701e-08,2.47170160271452e-09,4.91063565277727e-06,0.998231892923425,1,974,200,"0.6-3"
"13","f_Erysipelotrichaceae",4.2990594932216e-05,"Positive",1.39714720082289e-10,"Boundary",1.44614873723671e-05,"Positive",8.83633492158582e-11,"Boundary",0.001380677182128,"Positive",0.0100557616318128,0.0207289621449809,0.260325052917324,0.609896927031093,0.726494868963508,974,200,"0.6-3"
"14","f_Family_XI_2II",9.85044780919641e-05,"Positive",8.87286774991541e-11,"Boundary",4.28902113687416e-05,"Positive",5.61169439462154e-11,"Boundary",0.000876827154299293,"Positive",0.0421226528681398,0.0237025558380701,2.12903131962412,0.144532068748228,0.532140798573021,974,200,"0.6-3"
