"","phenotype","Vplate","Vplate_constraint","Vmom","Vmom_constraint","VA","VA_constraint","VI","VI_constraint","VR","VR_constraint","heritability","heritability_se","VA_LRT_chi","VA_LRT_p","p_adjust"
"1","c_Actinobacteria",0.122852627210614,"Positive",4.7573397268874e-08,"Boundary",0.169202004718063,"Positive",0.0887699488951659,"Positive",1.15356273753293,"Positive",0.110273330239193,0.0192776806821735,55.9503792009782,7.4273920347423e-14,4.45643522084538e-13
"2","c_Alphaproteobacteria",0.261816137474775,"Positive",0.0014524157529152,"Positive",0.0296737958236183,"Positive",0.0272331418611397,"Positive",2.16731593068306,"Positive",0.0119292052893132,0.00512196970884043,6.58278648786654,0.0102969576727081,0.0107945801624672
"3","c_Bacilli",0.372588430612241,"Positive",0.00933213863913593,"Positive",0.34055846823428,"Positive",0.086738875576667,"Positive",2.76444893771542,"Positive",0.0952966469608556,0.0160016900868062,60.6921713222328,6.66133814775094e-15,5.1616368836762e-14
"4","c_Bacteroidia",0.0353144954127036,"Positive",3.93400983043377e-08,"Boundary",0.0703853498428262,"Positive",0.0218019865277992,"Positive",0.388763446253053,"Positive",0.13633561557167,0.0229852130894646,43.5622084472161,4.10693701269338e-11,1.20343577028013e-10
"5","c_Campylobacteria",0.0751980576775574,"Positive",1.61609876183497e-07,"Boundary",0.203301176859587,"Positive",0.105208841136429,"Positive",1.59704767201097,"Positive",0.102638177629876,0.0194218782921583,43.2613521870298,4.78951323046317e-11,1.33727003068378e-10
"6","c_Clostridia",0.0248081589814661,"Positive",0.00241890744690345,"Positive",0.00588129898722129,"Positive",0.0151636643188433,"Positive",0.230778219321351,"Positive",0.0210761287872764,0.0104070628448636,5.96609639092276,0.0145835297365063,0.014954746857072
"7","c_Coriobacteriia",0.122369810339317,"Positive",0.00928927458277852,"Positive",0.207552458536779,"Positive",0.0885499824282064,"Positive",0.902244506584316,"Positive",0.156053772290873,0.0246356637024475,70.0133736211174,1.11022302462516e-16,2.60902410786912e-15
"8","c_Deltaproteobacteria",0.131329023508717,"Positive",3.38042344240071e-07,"Boundary",0.515832348779632,"Positive",0.373408155782547,"Positive",3.34057392814752,"Positive",0.118279142608979,0.0235092244873874,40.4277632600715,2.04021244343267e-10,5.18324242385596e-10
"9","c_Elusimicrobia",0.0894257228616442,"Positive",3.81417241634727e-07,"Boundary",0.271830325956865,"Positive",0.205538467573792,"Positive",3.76920973026395,"Positive",0.0626914289244291,0.0154746713630662,24.2997182183608,8.24511231067859e-07,1.19237008800583e-06
"10","c_Erysipelotrichia",0.051239518279446,"Positive",8.34099517826109e-08,"Boundary",0.0428092781211394,"Positive",0.0314442786162579,"Positive",0.824266885556648,"Positive",0.0450737829963772,0.0120504479760696,19.1544672037635,1.20555027174341e-05,1.53830396665901e-05
"11","c_Gammaproteobacteria",0.0738062900207859,"Positive",1.03954450353395e-07,"Boundary",0.0725911634896443,"Positive",0.0364845355015907,"Positive",1.02729001997109,"Positive",0.0599841648254786,0.0132302962157546,32.7021356941368,1.07419130257469e-08,2.07480785839769e-08
"12","c_Kiritimatiellae",0.134932914673248,"Positive",1.38173560957217e-07,"Boundary",0.171174726979809,"Positive",0.034622265336812,"Positive",1.36544726765111,"Positive",0.100326458272638,0.0174519938906071,35.6466185507052,2.36558150845667e-09,4.7728424783828e-09
"13","c_Lentisphaeria",0.23564106028989,"Positive",0.0146817900046247,"Positive",0.603420017482662,"Positive",0.686850715425124,"Positive",4.82498767442667,"Positive",0.0947941740213402,0.0224670285146376,31.0280237713669,2.54329686200094e-08,4.59795794387314e-08
"14","c_Melainabacteria",0.281816655576328,"Positive",0.045333753209897,"Positive",0.28352543035499,"Positive",0.311239143983857,"Positive",5.09726285401843,"Positive",0.0471036806065762,0.0138386045104516,15.792565992866,7.06796721348102e-05,8.44984633957311e-05
"15","c_Mollicutes",0.193876866771371,"Positive",1.08097105662369e-06,"Boundary",0.676838429537617,"Positive",0.282898438431771,"Positive",3.43079119382158,"Positive",0.147639285903149,0.0239262761320396,63.2560778018596,1.77635683940025e-15,1.92666395658027e-14
"16","c_Negativicutes",0.072558069560171,"Positive",3.11375578602107e-08,"Boundary",0.0800301943453907,"Positive",0.0409473299506052,"Positive",0.547124503957642,"Positive",0.108052521280845,0.0199414155413454,46.4371236209772,9.46065448204081e-12,3.42039046658398e-11
"17","c_Oxyphotobacteria",0.321887951691078,"Positive",0.00173353390055102,"Positive",0.0686112566921545,"Positive",0.0338888109873745,"Positive",1.63360704880499,"Positive",0.0333108238740755,0.00846987903648642,20.4599748618057,6.08913754374107e-06,8.13808903950229e-06
"18","c_Spirochaetia",0.166964257030137,"Positive",0.0218118475526964,"Positive",0.625294991737369,"Positive",0.529284647563798,"Positive",4.46262716973666,"Positive",0.107698386481718,0.0235386884839183,28.6967093088751,8.46474463855884e-08,1.42086785004381e-07
"19","c_Thermoplasmata",0.100905306470302,"Positive",1.12431999682204e-06,"Boundary",0.366358136084059,"Positive",0.209252262893125,"Positive",1.79198738627071,"Positive",0.148413008049078,0.026395882314544,43.8981055406985,3.45923290012706e-11,1.07535806346549e-10
"20","f_Acidaminococcaceae",0.134436930683899,"Positive",0.017611754274083,"Positive",0.205036203095255,"Positive",0.0859575190191643,"Positive",2.20654005748308,"Positive",0.0773843448309708,0.0158289868141931,31.6080343488975,1.88647483190252e-08,3.49990725392441e-08
"21","f_Atopobiaceae",0.125429991973849,"Positive",0.0179028876786912,"Positive",0.174850291924281,"Positive",0.0470300505807183,"Positive",0.963514715518125,"Positive",0.13159224470748,0.0204699548778593,70.8557965714899,0,0
"22","f_Bacteroidales_RF16_group",0.174765727972752,"Positive",0.0264346037240571,"Positive",0.496324181856894,"Positive",0.392084574742137,"Positive",3.68220834122732,"Positive",0.104011561462126,0.0216103016768799,36.6182939324644,1.43677003627829e-09,3.0694632593218e-09
"23","f_Bifidobacteriaceae",0.124740492618731,"Positive",4.80313023286309e-08,"Boundary",0.169686433367966,"Positive",0.089252726281765,"Positive",1.16792551317994,"Positive",0.109361860796677,0.0191673253218593,55.6522397474473,8.64863736182997e-14,4.8778314720721e-13
"24","f_Burkholderiaceae",0.18004648200253,"Positive",0.00833831105607047,"Positive",0.29611115660948,"Positive",0.150043296404582,"Positive",2.64254689636548,"Positive",0.090358063150935,0.0187586695078869,32.4474728996138,1.22458095885847e-08,2.34919612515706e-08
"25","f_Campylobacteraceae",0.0727814362546199,"Positive",0.0330511869454477,"Positive",0.490570932538737,"Positive",0.685194787430958,"Positive",2.51878462888713,"Positive",0.129084604405862,0.0314355083257552,26.4043980479764,2.76909255636504e-07,4.25525351064133e-07
"26","f_Christensenellaceae",0.117902887614805,"Positive",0.0153757013236794,"Positive",0.403263349832342,"Positive",0.0822176008873947,"Positive",2.52806184821532,"Positive",0.12814942449112,0.0193688908553718,63.6959610642407,1.4432899320127e-15,1.69586567011493e-14
"27","f_Clostridiaceae_1",0.523976134917544,"Positive",3.65893017031147e-07,"Boundary",0.10422731139126,"Positive",0.116251949182807,"Positive",3.61579752954689,"Positive",0.0239039579668532,0.00747254955878081,17.3236088627964,3.15245853922397e-05,3.91627007956458e-05
"28","f_Clostridiales_vadinBB60_group",0.164204597315182,"Positive",0.0051533223360591,"Positive",0.0970578457808668,"Positive",0.0436481339787588,"Positive",2.54110175411014,"Positive",0.0340414614847112,0.00853210202001056,24.4022723647759,7.81764272872465e-07,1.16030276289492e-06
"29","f_Coriobacteriaceae",0.247607233225186,"Positive",0.018024109405454,"Positive",0.335635714830543,"Positive",0.145888578996768,"Positive",1.83265163399247,"Positive",0.130101081067169,0.0219118746883973,62.6300852236091,2.44249065417534e-15,2.55104579436092e-14
"30","f_Desulfovibrionaceae",0.131271203920349,"Positive",3.43347388152947e-07,"Boundary",0.529333089986245,"Positive",0.395137800232049,"Positive",3.39299899170833,"Positive",0.118984908071428,0.0237939410300718,40.102210381192,2.41016095969826e-10,6.01473797022044e-10
"31","f_Eggerthellaceae",0.113559588781533,"Positive",0.0116747200798636,"Positive",0.174385394741702,"Positive",0.0815964333404342,"Positive",1.18629386387997,"Positive",0.111249940765984,0.0197685339496921,55.3333700207331,1.01696429055664e-13,5.62321431248968e-13
"32","f_Elusimicrobiaceae",0.0894257228616442,"Positive",3.81417241634727e-07,"Boundary",0.271830325956865,"Positive",0.205538467573792,"Positive",3.76920973026395,"Positive",0.0626914289244291,0.0154746713630662,24.2997182183608,8.24511231067859e-07,1.19237008800583e-06
