"","phenotype","Vplate","Vplate_constraint","Vmom","Vmom_constraint","VA","VA_constraint","VI","VI_constraint","VR","VR_constraint","heritability","heritability_se","VA_LRT_chi","VA_LRT_p","p_adjust"
"1","asv_10036",3.42626540312002e-05,"Boundary",7.3418786672534e-11,"Positive",6.12008711222026e-05,"Positive",3.40653782913597e-05,"Positive",0.000725533024999708,"Positive",0.0715747758511551,0.015015027290874,40.3688303672971,2.10269024414345e-10,7.8992957820524e-10
"2","asv_10248",4.12517601052209e-05,"Boundary",3.79047533022045e-10,"Positive",6.9816421261289e-05,"Positive",3.65668994653743e-05,"Positive",0.00064356599612986,"Positive",0.0882410171657601,0.0178639104150034,34.893577999057,3.48227557900316e-09,1.008408969753e-08
"3","asv_10260",9.63793371602735e-05,"Boundary",1.86276635749716e-10,"Positive",0.000162013046579584,"Positive",5.5243319716158e-05,"Positive",0.00184080747105046,"Positive",0.0751994921419954,0.0148908416162987,35.6308735580533,2.38477859682007e-09,7.20617880343456e-09
"4","asv_10273",3.14228632183927e-05,"Positive",8.83088547237508e-07,"Positive",5.85301078832259e-05,"Positive",3.25868945380733e-05,"Positive",0.000563002467390244,"Positive",0.0852679782003754,0.0165694831008262,44.6643836022995,2.33872921029388e-11,1.20401244529944e-10
"5","asv_10276",4.04227249382236e-05,"Boundary",7.46963159558895e-11,"Positive",6.04219232569833e-05,"Positive",3.04077517595308e-05,"Positive",0.00073815771858955,"Positive",0.0694976016231983,0.0141883644171625,38.7363516831247,4.85090190238679e-10,1.60541753436134e-09
"6","asv_10334",8.18065308093544e-06,"Boundary",1.29571576134431e-11,"Positive",8.31200216967815e-06,"Positive",5.38859126900812e-06,"Positive",0.000128044144894541,"Positive",0.0554409187991369,0.0126809881409175,30.3731298501662,3.56431408832236e-08,8.12196161109522e-08
"7","asv_10347",1.84407837276917e-05,"Boundary",2.59430586912701e-11,"Positive",7.40428112849554e-06,"Positive",2.86818322441754e-06,"Positive",0.000256372336061278,"Positive",0.0259721321124887,0.00699739193325799,22.3582000975148,2.26244953127619e-06,3.6997704099693e-06
"8","asv_10464",9.57476514019297e-06,"Positive",3.74590115601889e-06,"Positive",4.49754399621915e-05,"Positive",1.15912170265962e-05,"Positive",0.000215485653521179,"Positive",0.157602308619215,0.0237769651045277,66.1084676642204,4.44089209850063e-16,1.54321000422897e-14
"9","asv_10529",3.92053942544412e-05,"Boundary",5.34570855251238e-11,"Positive",2.8989938871564e-05,"Positive",1.14563501893218e-05,"Positive",0.000528269162792098,"Positive",0.0476870245657472,0.0111938995928569,27.1044985253538,1.92748887961613e-07,3.77353456713581e-07
"10","asv_10584",2.11116297026274e-05,"Positive",3.46191072649258e-07,"Positive",7.93531277345008e-06,"Positive",3.18294902878202e-06,"Positive",0.000202474683840924,"Positive",0.0337599953166024,0.00879929336902486,19.3326102937572,1.09814765300031e-05,1.65915786703308e-05
"11","asv_1061",3.11158024897022e-05,"Boundary",1.68915343170589e-10,"Positive",5.47823631475495e-05,"Positive",0.000112803677759864,"Positive",0.00166924115003482,"Positive",0.0293276392193376,0.0122923030886515,6.72247947695723,0.00952051786039532,0.0104200943511413
"12","asv_10630",1.84524018329164e-05,"Boundary",6.21783267528119e-11,"Positive",1.76251030224177e-05,"Positive",7.7824559380882e-06,"Positive",0.000614453487219839,"Positive",0.0267731145564493,0.00759060628695505,17.5102373094123,2.85764827330226e-05,4.09498051535066e-05
"13","asv_10636",1.33278444431216e-05,"Boundary",5.01712375318106e-11,"Positive",6.94686611244557e-06,"Positive",1.35177642006167e-05,"Positive",0.000495798029144645,"Positive",0.0131174282830963,0.00656115671063954,5.12578287351062,0.0235729347860808,0.0250125033226354
"14","asv_135",5.28329905527393e-05,"Positive",8.12493323758173e-06,"Positive",1.11382435381072e-05,"Positive",4.03389354727885e-05,"Positive",0.000973549495700449,"Positive",0.0102563549736107,0.00759827653270392,2.12715001105971,0.144709596421129,0.14899728816694
"15","asv_1543",0.00186680622188495,"Boundary",2.15438271714367e-09,"Positive",0.00315889487336056,"Positive",0.000963893872526685,"Positive",0.0212898616364779,"Positive",0.115797564068638,0.0199950636145666,41.1282857423648,1.42558298499296e-10,5.82811867394179e-10
"16","asv_1874",0.000367079878480188,"Boundary",2.01826062852692e-10,"Positive",0.000690838030918847,"Positive",0.000430006358638903,"Positive",0.00436192205879936,"Positive",0.118095069252474,0.0219111852345762,45.9527990383503,1.21136434216851e-11,7.01581848172594e-11
"17","asv_193",6.32080061918247e-05,"Boundary",3.93938145991384e-10,"Positive",3.71896167119245e-05,"Positive",4.24442471593881e-05,"Positive",0.000856382364982488,"Positive",0.0372184748385825,0.0106483856702774,21.073872033201,4.4191282546624e-06,6.98021394770538e-06
"18","asv_209",7.52479107931239e-05,"Positive",2.98403479161779e-06,"Positive",4.83698508403779e-05,"Positive",2.3771359727612e-05,"Positive",0.000861690225639721,"Positive",0.0477933019913344,0.0114470693234028,25.2686302218353,4.98754773370358e-07,8.88806583313843e-07
"19","asv_226",9.87337950744453e-05,"Positive",9.9166995677217e-06,"Positive",9.25202481762843e-05,"Positive",2.27165605650073e-05,"Positive",0.00168686397845773,"Positive",0.0484208745824483,0.0107008605627726,32.8518221988197,9.94578019941628e-09,2.51356990494339e-08
"20","asv_245",6.56237322261146e-05,"Positive",3.17752700324164e-06,"Positive",2.1259734061628e-05,"Positive",1.15772471966405e-05,"Positive",0.00077569798560826,"Positive",0.0242321397763695,0.00730189402954837,16.7388367508247,4.28938945252755e-05,6.08392993776866e-05
"21","asv_2748",2.95459128745866e-05,"Positive",2.74719925595083e-08,"Positive",7.12678856822543e-05,"Positive",4.9954553243159e-05,"Positive",0.000701955004328279,"Positive",0.0835741031636446,0.0168276633314456,48.5354324039799,3.24373861104732e-12,2.50488703853099e-11
"22","asv_2767",6.08102536871944e-05,"Positive",4.2702149533793e-06,"Positive",0.000129498171635836,"Positive",0.000183727888969599,"Positive",0.00203200390302315,"Positive",0.053726760628888,0.0162972963036591,13.407594852717,0.000250607538862302,0.00032555558786785
"23","asv_2791",3.81698893111337e-05,"Positive",5.37166522555417e-06,"Positive",9.45197733022766e-05,"Positive",4.28151171956002e-05,"Positive",0.000600822425894542,"Positive",0.120915837053638,0.022747341569078,41.0624570768559,1.47441392428505e-10,5.85552958501775e-10
"24","asv_2809",4.44588279067258e-05,"Boundary",1.0324827994687e-10,"Positive",9.3439510808546e-05,"Positive",7.31211898061781e-05,"Positive",0.00102031156153515,"Positive",0.0758849538748022,0.0178119595922785,26.3493375204707,2.84916619630593e-07,5.35181217954763e-07
"25","asv_2859",5.53471116156179e-06,"Positive",2.83103103699465e-07,"Positive",9.4383503278208e-06,"Positive",3.86399479569901e-06,"Positive",0.00012556666156,"Positive",0.0652329650062735,0.0144357399871701,26.0468792782049,3.33227030302474e-07,6.01539704052518e-07
"26","asv_2888",0.00019321695410326,"Positive",1.83576735334528e-05,"Positive",0.000229747512938133,"Positive",0.000332346134304964,"Positive",0.00269957808302549,"Positive",0.0661477733692039,0.0202130283819831,15.9119055721676,6.63599743050414e-05,9.04317296902034e-05
"27","asv_2910",9.53344911983027e-05,"Boundary",5.06189972541674e-10,"Positive",0.000134319051426999,"Positive",5.64355536417033e-05,"Positive",0.000887704463936643,"Positive",0.114431530429935,0.0209788636173605,45.0356243589049,1.934818971705e-11,1.03438398871921e-10
"28","asv_2919",0.00016060067957135,"Boundary",1.22325493222483e-09,"Positive",0.000194388533431343,"Positive",0.000153462201314091,"Positive",0.00232267064087723,"Positive",0.0686612748060342,0.01716435283157,18.6282623986917,1.58848113767096e-05,2.34892423549217e-05
"29","asv_2952",4.28815078970517e-05,"Boundary",1.24313136731337e-10,"Positive",5.40165626255317e-05,"Positive",4.69111387686846e-05,"Positive",0.00122847693659354,"Positive",0.0393624594216338,0.0116561040731262,14.1393272286077,0.000169757426726425,0.000222606436933708
"30","asv_2992",3.42261683447354e-05,"Positive",9.5505623650108e-06,"Positive",6.97534865494505e-05,"Positive",8.0951421458181e-05,"Positive",0.000865112028045118,"Positive",0.06583041097497,0.0183056490102559,17.5671284490963,2.77341259656838e-05,4.01567032211464e-05
"31","asv_3018",0.000284081881771067,"Boundary",1.94506359260587e-10,"Positive",0.00065301107986807,"Positive",0.00015768911584533,"Positive",0.00367094744276724,"Positive",0.137022264994569,0.0215075211066235,50.7187796274229,1.06592512594261e-12,1.02263382946906e-11
"32","asv_3053",0.000115750728068267,"Positive",2.44351415785563e-05,"Positive",0.000244553000220302,"Positive",0.000179604160197604,"Positive",0.00252972078083337,"Positive",0.0790394171441851,0.0188727159927078,24.3987616227241,7.83190223896391e-07,1.36079301401998e-06
"33","asv_3092",0.000139267760221438,"Boundary",1.0874660122955e-09,"Positive",0.000227824178848169,"Positive",0.000119415296524246,"Positive",0.00175092828870479,"Positive",0.101823746715436,0.0200173003968756,36.6388588898844,1.42169231942546e-09,4.49125528182134e-09
"34","asv_3109",0.000372538038354909,"Boundary",5.89729188527468e-10,"Positive",0.00161276460937956,"Positive",0.000249799419403118,"Positive",0.00582777271969032,"Positive",0.200023507007028,0.0267431656354745,61.0618186948122,5.55111512312578e-15,1.10229286016355e-13
"35","asv_3140",0.000120982014237318,"Positive",4.84817435082198e-05,"Positive",0.000179335551416394,"Positive",0.00015695825090472,"Positive",0.00174579215596556,"Positive",0.0796498296881613,0.0204145012053403,21.719335439353,3.15594264943542e-06,5.10088404966887e-06
"36","asv_3184",2.90989659328897e-05,"Boundary",8.4093633757008e-11,"Positive",0.000124442901569859,"Positive",3.53546881082055e-05,"Positive",0.000831023110679715,"Positive",0.122012444138834,0.0196258365570992,57.9031907631725,2.75335310107039e-14,4.25240090054204e-13
"37","asv_3197",2.56505268157424e-05,"Boundary",4.67654798678521e-11,"Positive",1.98505431444561e-05,"Positive",1.31529716169471e-05,"Positive",0.000462141934126771,"Positive",0.0381157733316263,0.0103294617927455,20.622796723037,5.5926194081346e-06,8.73454042394056e-06
"38","asv_3230",0.000191467768086343,"Boundary",3.9455031134332e-10,"Positive",0.000130482589241837,"Positive",0.000476693737829875,"Positive",0.00389899225902878,"Positive",0.0277762194526671,0.0149204715769468,3.41011700418312,0.0647978519271564,0.0677210632922912
"39","asv_3291",0.000137225637281473,"Positive",2.64282873196392e-05,"Positive",0.000169089586098396,"Positive",0.000174857426706173,"Positive",0.00175135723447012,"Positive",0.0748529070628991,0.0198272710041957,18.9260403693479,1.35885128079716e-05,2.03097126914844e-05
"40","asv_3366",1.75214232524919e-05,"Boundary",9.25644864260416e-11,"Positive",4.71025293783671e-05,"Positive",0.000122753762103948,"Positive",0.000914733066126173,"Positive",0.0427384671670718,0.0169312172225556,9.12274832362891,0.00252450414254324,0.00285289492531309
"41","asv_3417",8.34896027788366e-06,"Boundary",3.06142294387098e-11,"Positive",2.21858045161044e-05,"Positive",8.65420610307782e-06,"Positive",0.000302533390966697,"Positive",0.0649234729840927,0.0126313982279046,48.7775036683452,2.86715096109447e-12,2.34431755054195e-11
"42","asv_375",6.04783712648713e-05,"Positive",3.47417066670646e-05,"Positive",0.000241345519123507,"Positive",0.000235013073788307,"Positive",0.00287972789685947,"Positive",0.0699287398523158,0.0187166883891948,17.7446494543692,2.52627004706518e-05,3.69633196360064e-05
"43","asv_3752",2.79301548216166e-05,"Positive",7.25337462351761e-06,"Positive",3.94482932357788e-05,"Positive",2.05371926085788e-05,"Positive",0.00047988900862399,"Positive",0.0685988049820062,0.0144303456902035,43.7790685652435,3.67615937690857e-11,1.76202121858721e-10
"44","asv_3764",9.37843919976328e-05,"Positive",1.69620420446501e-05,"Positive",6.22460637848977e-05,"Positive",5.21437600955945e-05,"Positive",0.00171220777075377,"Positive",0.0321295871376131,0.00979961842586818,16.6331398542388,4.53516414037347e-05,6.36755369203952e-05
"45","asv_3782",2.09375748629282e-05,"Boundary",5.56164874249767e-11,"Positive",3.934503296245e-06,"Positive",4.8566414680481e-05,"Positive",0.000549608624578335,"Positive",0.006314936439054,0.00882192910740028,0.495847378959297,0.481330452833212,0.481330452833212
"46","asv_3788",1.38946886579783e-05,"Boundary",2.34312151955916e-10,"Positive",4.41792378710204e-06,"Positive",3.44996485178635e-05,"Positive",0.000406169018395161,"Positive",0.00962549395894837,0.00834805749972106,1.82275317398307,0.176985908129665,0.17956964401477
"47","asv_3800",1.15320213540319e-05,"Positive",1.35100175380796e-06,"Positive",1.72712481775399e-05,"Positive",1.32758199915476e-05,"Positive",0.000204271419097482,"Positive",0.0697260511307897,0.0159580133922632,33.088095024752,8.8076350657218e-09,2.26715050765802e-08
"48","asv_3827",1.76610716172643e-05,"Boundary",3.54015984601043e-11,"Positive",1.01354724275043e-05,"Positive",2.78699350098866e-05,"Positive",0.000349842730786959,"Positive",0.02499442995788,0.0119396802179798,5.30022664868739,0.0213226496580599,0.0227988330959255
"49","asv_3846",0.000149094725457626,"Positive",8.99922119521159e-06,"Positive",0.000327447737543138,"Positive",8.78725103901445e-05,"Positive",0.00245001280817752,"Positive",0.108303503687645,0.0179748954873469,52.1769724410551,5.07149877648772e-13,6.00951695813497e-12
"50","asv_3852",9.60849597187447e-05,"Boundary",1.65448215423098e-10,"Positive",9.54014466849874e-05,"Positive",5.61319271486873e-05,"Positive",0.00163497858868363,"Positive",0.0506754458025527,0.011756862637521,30.5036503230367,3.33238895366961e-08,7.72003440933459e-08
"51","asv_389",8.61567790861393e-05,"Positive",1.19235536519757e-07,"Positive",4.00015645923936e-05,"Positive",0.000259544632122489,"Positive",0.00268711972327512,"Positive",0.0130173512690977,0.0101788473403418,2.10015762444527,0.147283954506402,0.150532865267572
"52","asv_3901",3.85141778036919e-05,"Boundary",9.56292804543247e-11,"Positive",3.57218445378555e-05,"Positive",4.36285202978959e-05,"Positive",0.000945019718672736,"Positive",0.0336084018026647,0.0113997395106724,9.58047445440025,0.00196657579258064,0.0023165596200738
"53","asv_3916",1.92497013051919e-05,"Boundary",2.88065916232275e-11,"Positive",1.5373773349496e-05,"Positive",1.44741683480366e-05,"Positive",0.000284670102947237,"Positive",0.046061287254917,0.012371927265384,22.7056662229152,1.88810290646657e-06,3.16200366263679e-06
"54","asv_403",9.66803539979905e-05,"Positive",1.14857192481822e-05,"Positive",0.000414796119102453,"Positive",0.000247732242243613,"Positive",0.00248129317111492,"Positive",0.12755156826997,0.0245187884858329,44.4589955175616,2.59741117503154e-11,1.28942911903351e-10
"55","asv_411",6.24114840846468e-05,"Boundary",1.60261292663884e-10,"Positive",0.000151563739319182,"Positive",0.000111224745599801,"Positive",0.00158372081215951,"Positive",0.0793975989419896,0.0173469023133594,35.7311158497905,2.26517038459662e-09,6.99685963242066e-09
"56","asv_4307",4.10548999386311e-05,"Positive",6.83176145427167e-06,"Positive",4.67355270521637e-05,"Positive",3.49449918737153e-05,"Positive",0.000703488124280286,"Positive",0.0561013498073295,0.0139317971212084,26.2263187816279,3.03655713906892e-07,5.62775256440773e-07
"57","asv_4464",8.66330164460728e-06,"Boundary",2.49367221985509e-11,"Positive",4.52562358064818e-05,"Positive",2.87819248127568e-05,"Positive",0.000246427601303038,"Positive",0.137502996202008,0.0260684899987334,35.0074373771204,3.28448390707337e-09,9.71368644857868e-09
"58","asv_4475",6.07696838342075e-06,"Boundary",2.79937279199458e-12,"Positive",1.36352121737091e-05,"Positive",1.48054065209645e-05,"Positive",0.000175170869193855,"Positive",0.0650260497601889,0.0182643424200148,16.4535465884546,4.98568227506047e-05,6.93009836233405e-05
"59","asv_461",3.70184813838374e-05,"Boundary",3.41950904173622e-11,"Positive",1.45587575266638e-05,"Positive",5.46310176306668e-06,"Positive",0.000337919877391935,"Positive",0.0368613232428714,0.00866769658703528,29.0483902040578,7.05927368782611e-08,1.50959852708897e-07
"60","asv_4629",0.000347459820014055,"Positive",5.35222659130623e-06,"Positive",0.000797487678320756,"Positive",0.000238591613908158,"Positive",0.00513253424234676,"Positive",0.122287323284356,0.0195549144273717,62.0622083049238,3.33066907387547e-15,7.71605002114484e-14
"61","asv_4897",4.21853776255091e-05,"Boundary",2.38549131691325e-10,"Positive",6.21215504875617e-05,"Positive",4.9305853685452e-05,"Positive",0.000561233558654147,"Positive",0.0869019343623454,0.019324364570087,26.9774825252389,2.05839483125025e-07,3.97384557699702e-07
"62","asv_513",1.08302779079657e-05,"Positive",1.02069197871812e-07,"Positive",1.92787544507492e-05,"Positive",7.81714834013154e-06,"Positive",0.000196314192482335,"Positive",0.0822674469679095,0.0152899079213441,47.7444159087609,4.85567142050058e-12,3.55230698657674e-11
"63","asv_5219",3.87645725360705e-05,"Boundary",6.10062505494286e-11,"Positive",6.06218303936274e-05,"Positive",2.98186750782593e-05,"Positive",0.000602870893282898,"Positive",0.0828081069713599,0.0160055052316092,46.8174675982009,7.79154518681935e-12,5.15726086175185e-11
"64","asv_5232",8.47856151070755e-05,"Positive",2.26957640848497e-05,"Positive",0.000121861818940397,"Positive",7.01681576040636e-05,"Positive",0.00163216171906583,"Positive",0.0630861508243959,0.0142961829937027,33.1774289542373,8.41213354529913e-09,2.20620106188034e-08
"65","asv_5270",3.57488623499337e-05,"Boundary",3.63115165540089e-11,"Positive",2.46316335925658e-05,"Positive",1.05252750863385e-05,"Positive",0.000358834647666723,"Positive",0.0573174652411072,0.0120005152979754,41.7184238864284,1.05411013251455e-10,4.7264938199846e-10
"66","asv_5287",1.31856316262911e-05,"Boundary",2.04477979267842e-11,"Positive",1.41628012480401e-05,"Positive",6.66735580284552e-06,"Positive",0.000202067527356081,"Positive",0.0599906857431954,0.0123631410292189,40.5971144438954,1.87082682678863e-10,7.22347024787832e-10
"67","asv_5348",1.46913361664376e-05,"Positive",2.33726322474656e-06,"Positive",1.28251042566661e-05,"Positive",1.89928841822503e-05,"Positive",0.000419424032041342,"Positive",0.0273882317455386,0.0100211578592118,10.7109087325662,0.0010650570570977,0.00128732983423113
"68","asv_5363",3.68156746186278e-05,"Boundary",7.38749558885902e-11,"Positive",0.000102836296095807,"Positive",6.3601499426185e-05,"Positive",0.00073004094247202,"Positive",0.110186331950621,0.0205472009500435,53.6779666149669,2.36144437337771e-13,3.28240767899501e-12
"69","asv_5453",4.99773045165096e-05,"Boundary",4.89323772335893e-11,"Positive",1.96727821870824e-05,"Positive",5.66187984412301e-06,"Positive",0.000483555466982325,"Positive",0.0352011573484334,0.00801185983540913,32.7017464384116,1.0744064415924e-08,2.66683027466685e-08
"70","asv_5478",3.89613114320475e-05,"Positive",6.23420857193449e-07,"Positive",1.87703124527504e-05,"Positive",1.62969886659361e-05,"Positive",0.000412202947551495,"Positive",0.0385542167315626,0.0103677957294143,22.4378585246886,2.17053206130746e-06,3.59171376811592e-06
"71","asv_5694",1.37165812244002e-05,"Boundary",7.21615888042798e-11,"Positive",3.44400171460922e-05,"Positive",1.36506349198397e-05,"Positive",0.00035357569456932,"Positive",0.0829114748180139,0.0159080130396029,41.243183491315,1.34419808617281e-10,5.66192527206123e-10
"72","asv_6011",1.70410011201731e-05,"Positive",1.30959704570724e-06,"Positive",8.61375124896235e-06,"Positive",2.12252110693042e-05,"Positive",0.000439170598044201,"Positive",0.0176743032811151,0.00909768418862914,4.3766733523953,0.0364340399947013,0.0383661481762385
"73","asv_6395",7.03201395550196e-06,"Boundary",8.51945119200474e-12,"Positive",3.58131339518064e-06,"Positive",2.29311699813193e-06,"Positive",8.41902117266253e-05,"Positive",0.0368840001880876,0.00963032133214345,24.5282211262966,7.32293770178138e-07,1.28846625385774e-06
"74","asv_6442",6.0540135100397e-06,"Boundary",1.32593941715421e-11,"Positive",4.34115462198704e-06,"Positive",3.11280525282982e-06,"Positive",0.00013103088186203,"Positive",0.0300345136699226,0.00916841568518904,12.9365838434314,0.000322222493500113,0.000410907583454272
"75","asv_6446",7.99623428992027e-06,"Boundary",1.12828994356252e-10,"Positive",5.17485557635592e-05,"Positive",1.17969524155608e-05,"Positive",0.000278121267752467,"Positive",0.147995462924711,0.0215933900172251,62.3909988242085,2.77555756156289e-15,7.71605002114484e-14
"76","asv_6497",8.94845526615938e-06,"Positive",5.00604068993478e-07,"Positive",4.2740796487401e-06,"Positive",5.23959296158064e-06,"Positive",0.000211846753948555,"Positive",0.0185177815902352,0.00733218790855567,9.34287459211191,0.00223854117324596,0.00255046904164908
"77","asv_6539",7.79089165503387e-06,"Boundary",2.29100298978279e-11,"Positive",4.81730070907886e-06,"Positive",6.71095508301723e-06,"Positive",0.0002263995912755,"Positive",0.0196049364609794,0.00751632674979146,10.0827006880718,0.00149667806804077,0.00179343320222127
"78","asv_6562",9.29010385776137e-06,"Positive",9.80004693144768e-07,"Positive",1.02843885838489e-05,"Positive",5.74955541662194e-06,"Positive",0.000148659159700974,"Positive",0.0587802913049834,0.0140163731859976,26.1548294617387,3.15108016124555e-07,5.76315976859383e-07
"79","asv_6569",6.30747906941138e-05,"Boundary",8.27256963962659e-11,"Positive",9.0564518683648e-05,"Positive",3.97171040350478e-05,"Positive",0.000817504993909739,"Positive",0.089591422341478,0.0180880162476662,34.5108925720124,4.23872648092072e-09,1.20241424662853e-08
"80","asv_6634",5.40389068952496e-05,"Positive",8.09643364813926e-07,"Positive",2.36148486615428e-05,"Positive",9.20001089152468e-06,"Positive",0.00064941389934317,"Positive",0.032038496326218,0.00863648940894124,14.6816412698536,0.000127280010072339,0.000170114628846684
"81","asv_6659",3.94542458049467e-05,"Boundary",1.19881423625989e-10,"Positive",4.99575693440498e-05,"Positive",6.09291945245931e-05,"Positive",0.00118468223007524,"Positive",0.03742074547511,0.01172629652014,13.3244575020071,0.000261966689473536,0.000337160831822422
"82","asv_6660",0.000159953691560449,"Boundary",1.74414015726361e-10,"Positive",6.92306655455461e-05,"Positive",0.000135889867005795,"Positive",0.00172357967445998,"Positive",0.0331460659000267,0.0130384877967779,8.08778306830209,0.00445646422984691,0.00499555264474775
"83","asv_6705",7.24796985999574e-05,"Positive",8.74153493243116e-06,"Positive",3.51356265854181e-05,"Positive",1.79775232812667e-05,"Positive",0.00062006656663658,"Positive",0.0465742077654562,0.0119857506018017,21.5865516605554,3.38215030826206e-06,5.40366543503938e-06
"84","asv_6767",1.43820160372487e-05,"Positive",8.63426177867599e-07,"Positive",3.0282399170298e-06,"Positive",3.44807191542812e-06,"Positive",0.000246496169704943,"Positive",0.0112902220502756,0.00551570643236355,5.63150971708819,0.0176404323069487,0.0190079076795804
