"","phenotype","Vplate","Vplate_constraint","Vmom","Vmom_constraint","VA","VA_constraint","VI","VI_constraint","heritability","heritability_se","model_type_significance"
"1","f_Muribaculaceae",0.200817825696701,"Positive",0.00515368751252415,"Positive",0.914947062589026,"Positive",0.119439286149852,"Positive",0.201959114593122,0.0322536257307532,"sig"
"2","g_CAG-873",0.201296334917411,"Positive",0.00148200884577341,"Positive",0.913861693854567,"Positive",0.120495801667177,"Positive",0.201863104244496,0.0321932443574744,"sig"
"3","p_Tenericutes",0.500283662638274,"Positive",0.00452859360972541,"Positive",1.00458867673979,"Positive",0.201018670055586,"Positive",0.200900875624193,0.0347473102579701,"sig"
"4","c_Mollicutes",0.500283662638274,"Positive",0.00452859360972541,"Positive",1.00458867673979,"Positive",0.201018670055586,"Positive",0.200900875624193,0.0347473102579701,"sig"
"5","f_Christensenellaceae",0.391374979372469,"Positive",0.0533227285794038,"Positive",0.94805109893484,"Positive",0.0427492481218761,"Positive",0.200624587693988,0.0294654385154678,"sig"
"6","g_Christensenellaceae_R-7_group",0.391374979372469,"Positive",0.0533227285794038,"Positive",0.94805109893484,"Positive",0.0427492481218761,"Positive",0.200624587693988,0.0294654385154678,"sig"
"7","o_Betaproteobacteriales",0.410139111523766,"Positive",0.0381493520545494,"Positive",0.98664867394981,"Positive",0.252330250399726,"Positive",0.198230996458596,0.0382679039691217,"sig"
"8","f_Desulfovibrionaceae",0.245370539352514,"Positive",4.62195982513461e-08,"Boundary",0.948523767634784,"Positive",0.453426383149374,"Positive",0.192113054485253,0.0317230923731387,"sig"
"9","o_Desulfovibrionales",0.245703008879699,"Positive",4.61165157214817e-08,"Boundary",0.947497320188222,"Positive",0.453613935682018,"Positive",0.19192484475316,0.0317082218473429,"sig"
"10","g_Ruminococcaceae_NK4A214_group",0.328456582314211,"Positive",9.11289371379942e-08,"Boundary",0.866337230953724,"Positive",0.0687236940685159,"Positive",0.190256699841392,0.0311858122658163,"sig"
"11","o_Mollicutes_RF39",0.472399593175439,"Positive",0.0261412035905334,"Positive",0.941060258697437,"Positive",0.242610074660348,"Positive",0.189263937928158,0.0334811769352412,"sig"
"12","c_Deltaproteobacteria",0.261394834115891,"Positive",6.28344990146568e-07,"Boundary",0.888798011907144,"Positive",0.433252403712322,"Positive",0.182375681220706,0.0307275080610252,"sig"
"13","o_Acholeplasmatales",0.329397665549914,"Positive",6.85823417775374e-08,"Boundary",0.752572353711376,"Positive",0.264525792177052,"Positive",0.162314897540256,0.0344741996139072,"sig"
"14","f_Acholeplasmataceae",0.329397665549914,"Positive",6.85823417775374e-08,"Boundary",0.752572353711376,"Positive",0.264525792177052,"Positive",0.162314897540256,0.0344741996139072,"sig"
"15","g_Acholeplasma",0.329397665549914,"Positive",6.85823417775374e-08,"Boundary",0.752572353711376,"Positive",0.264525792177052,"Positive",0.162314897540256,0.0344741996139072,"sig"
"16","g_Ruminococcaceae_UCG-014",0.496421426183758,"Positive",0.0248291539007921,"Positive",0.762376385120099,"Positive",0.144291712091739,"Positive",0.161591675750753,0.0294907623622689,"sig"
"17","f_Bacteroidales_RF16_group",0.320318825502902,"Positive",0.0204182893386576,"Positive",0.76139922836162,"Positive",0.482702532060137,"Positive",0.156189619358546,0.03014760742552,"sig"
"18","g_Ruminococcaceae_UCG-009",0.230491440211269,"Positive",0.0179466157625344,"Positive",0.709375091005323,"Positive",0.353323420422781,"Positive",0.154173883042529,0.0277795548906309,"sig"
"19","g_dgA-11_gut_group",0.354411480825851,"Positive",0.263283832313443,"Positive",0.832439699155916,"Positive",0.687621683638762,"Positive",0.153367172809996,0.0452638313239992,"sig"
"20","p_Elusimicrobia",0.226916053701286,"Positive",0.0189827646834864,"Positive",0.677762854063733,"Positive",0.232829518562575,"Positive",0.15242644704523,0.0294081729563127,"sig"
"21","c_Elusimicrobia",0.226916053701286,"Positive",0.0189827646834864,"Positive",0.677762854063733,"Positive",0.232829518562575,"Positive",0.15242644704523,0.0294081729563127,"sig"
"22","o_Elusimicrobiales",0.226916053701286,"Positive",0.0189827646834864,"Positive",0.677762854063733,"Positive",0.232829518562575,"Positive",0.15242644704523,0.0294081729563127,"sig"
"23","f_Elusimicrobiaceae",0.226916053701286,"Positive",0.0189827646834864,"Positive",0.677762854063733,"Positive",0.232829518562575,"Positive",0.15242644704523,0.0294081729563127,"sig"
"24","g_Elusimicrobium",0.226916053701286,"Positive",0.0189827646834864,"Positive",0.677762854063733,"Positive",0.232829518562575,"Positive",0.15242644704523,0.0294081729563127,"sig"
"25","g_Ruminococcaceae_UCG-002",0.397785726574655,"Positive",0.0306936158445236,"Positive",0.729558469828978,"Positive",0.395327966477853,"Positive",0.150630471279598,0.0278025413507216,"sig"
"26","f_Victivallaceae",0.247543691024063,"Positive",1.31449131505877e-07,"Boundary",0.706581510018872,"Positive",0.469293139130001,"Positive",0.149908503620666,0.0338172266988285,"sig"
"27","g_Victivallis",0.247543691024063,"Positive",1.31449131505877e-07,"Boundary",0.706581510018872,"Positive",0.469293139130001,"Positive",0.149908503620666,0.0338172266988285,"sig"
"28","c_Spirochaetia",0.262582874853944,"Positive",6.13516963458848e-08,"Boundary",0.664466270253388,"Positive",0.24563227200419,"Positive",0.148893949402413,0.0265272087617187,"sig"
"29","o_Spirochaetales",0.262582874853944,"Positive",6.13516963458848e-08,"Boundary",0.664466270253388,"Positive",0.24563227200419,"Positive",0.148893949402413,0.0265272087617187,"sig"
"30","f_Spirochaetaceae",0.262582874853944,"Positive",6.13516963458848e-08,"Boundary",0.664466270253388,"Positive",0.24563227200419,"Positive",0.148893949402413,0.0265272087617187,"sig"
"31","f_Campylobacteraceae",0.188882622536863,"Positive",0.00703996280450929,"Positive",0.767254361351451,"Positive",1.04319297386694,"Positive",0.1448641943179,0.0352716703835957,"sig"
"32","g_Campylobacter",0.188882622536863,"Positive",0.00703996280450929,"Positive",0.767254361351451,"Positive",1.04319297386694,"Positive",0.1448641943179,0.0352716703835957,"sig"
"33","g_Desulfovibrio",0.191069205416048,"Positive",3.68867889689033e-07,"Boundary",0.675235928379423,"Positive",0.573851170745753,"Positive",0.142751281828635,0.0309230993265027,"sig"
"34","o_Aeromonadales",0.548594374147649,"Positive",0.0267135251782708,"Positive",0.732579478593205,"Positive",0.538708918689495,"Positive",0.142619632980868,0.030730474841394,"sig"
"35","g_Mailhella",0.210376614969583,"Positive",0.00699395139620304,"Positive",0.644225545750108,"Positive",0.410144750135106,"Positive",0.141223617299518,0.0276623014010601,"sig"
"36","f_Succinivibrionaceae",0.547570312985624,"Positive",0.0280789531981372,"Positive",0.723855507929278,"Positive",0.547476436578542,"Positive",0.140910678517321,0.0306415556573468,"sig"
"37","g_Succinivibrio",0.548996225430809,"Positive",0.0293834815166177,"Positive",0.723295974171013,"Positive",0.549315611253032,"Positive",0.140691927497385,0.030656645443147,"sig"
"38","p_Lentisphaerae",0.274047013656173,"Positive",1.26368725412182e-07,"Boundary",0.607688585628441,"Positive",0.382462298127508,"Positive",0.13343481826114,0.0266969178954231,"sig"
"39","c_Lentisphaeria",0.274047013656173,"Positive",1.26368725412182e-07,"Boundary",0.607688585628441,"Positive",0.382462298127508,"Positive",0.13343481826114,0.0266969178954231,"sig"
"40","o_Victivallales",0.274047013656173,"Positive",1.26368725412182e-07,"Boundary",0.607688585628441,"Positive",0.382462298127508,"Positive",0.13343481826114,0.0266969178954231,"sig"
"41","g_Ruminiclostridium_6",0.321391698485624,"Positive",4.39483087079836e-07,"Boundary",0.565931550203328,"Positive",0.149210495125406,"Positive",0.130804825809098,0.0217796283860607,"sig"
"42","g_Ruminococcaceae_UCG-005",0.395874767169174,"Positive",2.98760241441986e-07,"Boundary",0.558252183673576,"Positive",0.0715975381572045,"Positive",0.129353054498941,0.0255161580364884,"sig"
"43","g_Candidatus_Soleaferrea",0.328065130814245,"Positive",5.51550244397424e-08,"Boundary",0.599861718812013,"Positive",0.423019196381285,"Positive",0.129254187774718,0.033725565333387,"sig"
"44","g_Libanicoccus",0.248014837292471,"Positive",0.0438253646819634,"Positive",0.549778713877676,"Positive",0.157300134270739,"Positive",0.128185845303359,0.0252156950595145,"sig"
"45","g_Catenibacterium",0.348596274949919,"Positive",5.43055371447507e-08,"Boundary",0.582343181488097,"Positive",0.371706540348628,"Positive",0.126799055492119,0.0296402580555164,"sig"
