"","phenotype","Vplate","Vplate_constraint","Vmom","Vmom_constraint","VA","VA_constraint","VI","VI_constraint","VR","VR_constraint","heritability","heritability_se","VA_LRT_chi","VA_LRT_p","p_adjust","hydro_year","number_samples","number_snames"
"1","pc1_bc",0.000777060612221017,"Positive",0.000852314739073967,"Positive",0.00394864966906649,"Positive",0.00464850411364288,"Positive",0.0208261520047282,"Positive",0.127159701651052,0.0727441134082269,-255.330399588164,1,1,2004,1023,216
"2","g_Christensenellaceae_R-7_group",1.47678044356804e-05,"Positive",4.41597993579851e-11,"Boundary",9.60770708512944e-05,"Positive",0.000161957587276882,"Positive",0.000704470087907147,"Positive",0.0983114346796869,0.0678409345378977,2.43453030909495,0.118689440968643,0.151785535084899,2004,1023,216
"3","g_Rikenellaceae_RC9_gut_group",0.000478939124405147,"Positive",7.51318340588368e-10,"Boundary",0.00293883540136769,"Positive",1.29916516058802e-09,"Boundary",0.00742461559350128,"Positive",0.271050461499161,0.0359034021611159,13.5622273841609,0.000230783066522133,0.00306941478474437,2007,1237,206
"4","g_Ruminococcaceae_UCG-009",4.97721989471472e-06,"Positive",2.82925513689491e-11,"Boundary",0.000118201989933912,"Positive",2.20948290224555e-11,"Boundary",0.000279590297116045,"Positive",0.293472999093782,0.0367364735634531,15.452944397297,8.45850636889134e-05,0.00244862504336958,2007,1237,206
"5","g_Ruminococcaceae_UCG-011",2.40897223312507e-06,"Positive",1.14495301367607e-11,"Boundary",2.41996003285788e-05,"Positive",2.95626295868861e-06,"Positive",0.000113145594083442,"Positive",0.169571337247354,0.0572660147392319,13.0769109458233,0.000298958068857935,0.00331345192984211,2007,1237,206
"6","o_Mollicutes_RF39",0.000431845697111521,"Positive",3.45441548733495e-10,"Boundary",0.00076320724076336,"Positive",0.000494282758029959,"Positive",0.00341369373115719,"Positive",0.149559629237461,0.0619645322067783,8.33557719461714,0.00388761245321423,0.0166906919954317,2008,1636,209
"7","o_WCHB1-41",0.00175950622353186,"Positive",7.26626973457705e-05,"Positive",0.00192189891595584,"Positive",0.00124507360489244,"Positive",0.0181684851022276,"Positive",0.0829562282657493,0.049483672657971,2.54527398439132,0.110624719375621,0.145034595370131,2008,1636,209
"8","f_Prevotellaceae",0.000762183395641816,"Positive",0.000253397659994913,"Positive",0.00192759784715635,"Positive",0.00157584781837242,"Positive",0.0114675965296547,"Positive",0.120575672355164,0.0655250817003544,3.40506051764987,0.0649967300663741,0.0971299449306489,2008,1636,209
"9","g_CAG-873",8.1563900790706e-05,"Positive",2.3096903513255e-10,"Boundary",0.000327039711966381,"Positive",0.00031200079565568,"Positive",0.00228246298169448,"Positive",0.108901880753911,0.0587754059153659,4.0730293759425,0.0435730634692502,0.0715458943383985,2008,1636,209
"10","g_Candidatus_Methanogranum",0.000553443661717431,"Positive",3.65528620219425e-10,"Boundary",0.00100078007495402,"Positive",0.000901683276497876,"Positive",0.00361219651769295,"Positive",0.164924676973519,0.071219089270365,6.99026683964621,0.00819541349150299,0.0242219998748866,2008,1636,209
"11","g_Christensenellaceae_R-7_group",2.56682887584927e-05,"Positive",8.84506650091824e-11,"Boundary",0.000111644789291607,"Positive",0.000117425126190184,"Positive",0.000874079802402338,"Positive",0.0989041456519002,0.0644861227250561,1.80394075337972,0.179236806199119,0.209476257580789,2008,1636,209
"12","g_Collinsella",9.87968382517737e-05,"Positive",9.3736762836935e-11,"Boundary",0.00030012214459589,"Positive",9.03093224777973e-05,"Positive",0.000926317638537112,"Positive",0.212018639185255,0.0677792320469777,11.3175801642574,0.000767767022398447,0.0054767602387118,2008,1636,209
"13","g_Collinsella",7.48553548014223e-05,"Positive",4.4369404607826e-05,"Positive",0.000135194208217839,"Positive",0.000185367747143311,"Positive",0.00119282733503486,"Positive",0.0828084311990122,0.0580818329619584,2.67337826307175,0.102039222826593,0.137379767703506,2004,1023,216
"14","g_Family_XIII_AD3011_group",2.71763326191529e-05,"Positive",3.69251934486544e-11,"Boundary",0.000138932868260776,"Positive",1.52652481690436e-05,"Positive",0.000364899074415295,"Positive",0.254328377455657,0.0737508948096579,9.58470733664399,0.00196204711183778,0.0100366256105548,2008,1636,209
"15","g_Libanicoccus",5.43334215035673e-06,"Positive",7.73432646777598e-06,"Positive",7.24832978110409e-05,"Positive",1.62635189549124e-05,"Positive",0.000157583225942452,"Positive",0.27932153019967,0.0788217456246847,12.6158057649809,0.000382498619987404,0.00391325511217883,2008,1636,209
"16","g_Prevotella_2",2.80506291021927e-05,"Positive",9.1487284768222e-11,"Boundary",0.000309666289981396,"Positive",1.85904706055739e-05,"Positive",0.000904088033529565,"Positive",0.245689774652702,0.0644072775236486,14.6137045157066,0.000131951471960989,0.00250707796725879,2008,1636,209
"17","g_Prevotella_9",0.000642313053768668,"Positive",0.000376337310477676,"Positive",0.0021498391470872,"Positive",0.00123924812897616,"Positive",0.00971429306840298,"Positive",0.152233003272032,0.0688614872205267,5.24769593734163,0.0219758513469778,0.049193603996092,2008,1636,209
"18","g_Rikenellaceae_RC9_gut_group",0.000179955753875225,"Positive",6.95004678001615e-05,"Positive",0.00313358221095079,"Positive",2.6044113047841e-10,"Boundary",0.00619445339209494,"Positive",0.327181916005489,0.0425424888807242,27.6962809478873,1.41935321384956e-07,1.88773977441991e-05,2008,1636,209
"19","g_Ruminococcaceae_UCG-009",9.31521959427416e-06,"Positive",1.07353340088736e-10,"Boundary",6.6199956332387e-05,"Positive",4.97937390734802e-05,"Positive",0.000318364483548994,"Positive",0.149208720943861,0.0702590105191209,4.93727316556397,0.0262834703620509,0.0534427271204172,2008,1636,209
"20","g_Ruminococcaceae_UCG-011",6.55290634069192e-06,"Positive",4.87037866710398e-06,"Positive",4.07182133135873e-05,"Positive",2.37483914364293e-06,"Positive",0.00011759575133693,"Positive",0.236579624342602,0.0686148449739045,10.9432372402061,0.000939458828551509,0.00594990591415956,2008,1636,209
"21","o_Mollicutes_RF39",0.000236304631785627,"Positive",3.72489684147727e-10,"Boundary",0.0016337248684035,"Positive",0.000290888938182103,"Positive",0.00368098656446454,"Positive",0.279656167541482,0.072967107569237,14.9488685125452,0.000110464287670808,0.00244862504336958,2009,1678,236
"22","o_WCHB1-41",0.00188780159613857,"Positive",1.88202497133369e-05,"Positive",0.00295773904125237,"Positive",0.0055790163226336,"Positive",0.0186770738617646,"Positive",0.101569135518881,0.0652820915135998,2.51958583121359,0.112440112988259,0.145189660460567,2009,1678,236
