"","trait","h2_estimate","is_heritable","dataset"
"1","class_Actinobacteria",9.43e-06,"NS","Davenport_2014"
"2","class_Alphaproteobacteria",9.43e-06,"NS","Davenport_2014"
"3","class_Gammaproteobacteria",0.372659,"heritable","Davenport_2014"
"4","family_Bacillaceae",9.43e-06,"NS","Davenport_2014"
"5","family_Campylobacteraceae",0.348032,"heritable","Davenport_2014"
"6","family_Carnobacteriaceae",9.43e-06,"NS","Davenport_2014"
"7","family_Clostridiaceae",9.43e-06,"NS","Davenport_2014"
"8","family_Coriobacteriaceae",9.43e-06,"NS","Davenport_2014"
"9","family_Enterobacteriaceae",0.0918322,"NS","Davenport_2014"
"10","family_Enterococcaceae",0.0667353,"NS","Davenport_2014"
"11","family_Erysipelotrichaceae",0.340219,"heritable","Davenport_2014"
"12","family_Flavobacteriaceae",9.43e-06,"NS","Davenport_2014"
"13","family_Fusobacteriaceae",0.0258214,"NS","Davenport_2014"
"14","family_Incertae_Sedis_XI",9.43e-06,"NS","Davenport_2014"
"15","family_Lachnospiraceae",0.288735,"heritable","Davenport_2014"
"16","family_Neisseriaceae",0.240149,"heritable","Davenport_2014"
"17","family_Pasteurellaceae",0.191789,"heritable","Davenport_2014"
"18","family_Porphyromonadaceae",9.43e-06,"NS","Davenport_2014"
"19","family_Prevotellaceae",9.43e-06,"NS","Davenport_2014"
"20","family_Ruminococcaceae",0.124515,"NS","Davenport_2014"
"21","family_Sutterellaceae",0.00415619,"NS","Davenport_2014"
"22","family_Veillonellaceae",0.153133,"NS","Davenport_2014"
"23","genus_Abiotrophia",9.43e-06,"NS","Davenport_2014"
"24","genus_Acetivibrio",0.0816975,"NS","Davenport_2014"
"25","genus_Acinetobacter",9.43e-06,"NS","Davenport_2014"
"26","genus_Actinomyces",9.43e-06,"NS","Davenport_2014"
"27","genus_Adlercreutzia",9.43e-06,"NS","Davenport_2014"
"28","genus_Akkermansia",9.43e-06,"NS","Davenport_2014"
"29","genus_Alistipes",0.0501232,"NS","Davenport_2014"
"30","genus_Anaerococcus",9.43e-06,"NS","Davenport_2014"
"31","genus_Anaerofilum",0.234321,"heritable","Davenport_2014"
