"","trait","h2_estimate","is_heritable","dataset","simple_name"
"1","class_Actinobacteria",9.43e-06,"NS","Davenport 2014","c_Actinobacteria"
"2","class_Alphaproteobacteria",9.43e-06,"NS","Davenport 2014","c_Alphaproteobacteria"
"3","class_Gammaproteobacteria",0.372659,"heritable","Davenport 2014","c_Gammaproteobacteria"
"4","family_Bacillaceae",9.43e-06,"NS","Davenport 2014","f_Bacillaceae"
"5","family_Campylobacteraceae",0.348032,"heritable","Davenport 2014","f_Campylobacteraceae"
"6","family_Carnobacteriaceae",9.43e-06,"NS","Davenport 2014","f_Carnobacteriaceae"
"7","family_Clostridiaceae",9.43e-06,"NS","Davenport 2014","f_Clostridiaceae"
"8","family_Coriobacteriaceae",9.43e-06,"NS","Davenport 2014","f_Coriobacteriaceae"
"9","family_Enterobacteriaceae",0.0918322,"NS","Davenport 2014","f_Enterobacteriaceae"
"10","family_Enterococcaceae",0.0667353,"NS","Davenport 2014","f_Enterococcaceae"
"11","family_Erysipelotrichaceae",0.340219,"heritable","Davenport 2014","f_Erysipelotrichaceae"
"12","family_Flavobacteriaceae",9.43e-06,"NS","Davenport 2014","f_Flavobacteriaceae"
"13","family_Fusobacteriaceae",0.0258214,"NS","Davenport 2014","f_Fusobacteriaceae"
"14","family_Lachnospiraceae",0.288735,"heritable","Davenport 2014","f_Lachnospiraceae"
"15","family_Neisseriaceae",0.240149,"heritable","Davenport 2014","f_Neisseriaceae"
"16","family_Pasteurellaceae",0.191789,"heritable","Davenport 2014","f_Pasteurellaceae"
"17","family_Porphyromonadaceae",9.43e-06,"NS","Davenport 2014","f_Porphyromonadaceae"
"18","family_Prevotellaceae",9.43e-06,"NS","Davenport 2014","f_Prevotellaceae"
"19","family_Ruminococcaceae",0.124515,"NS","Davenport 2014","f_Ruminococcaceae"
"20","family_Sutterellaceae",0.00415619,"NS","Davenport 2014","f_Sutterellaceae"
"21","family_Veillonellaceae",0.153133,"NS","Davenport 2014","f_Veillonellaceae"
"22","family_Incertae_Sedis_XI",9.43e-06,"NS","Davenport 2014","f_XI"
