"","monkey","mean_phylum_abundance","taxa","PhylGroup","CommonName","study"
"1","Ateles hybridus",2.26,"Actinobacteria","New_World","Brown spider monkey","Mann et al. 2020"
"2","Lagothrix lagotricha",0.355,"Actinobacteria","New_World","Brown woolly monkey","Mann et al. 2020"
"3","Pan troglodytes",4.745,"Actinobacteria","Ape","Chimpanzee","Mann et al. 2020"
"4","Theropithecus gelada",0.736,"Actinobacteria","Old_World","Gelada","Mann et al. 2020"
"5","Gorilla gorilla",4.44,"Actinobacteria","Ape","Gorilla","Mann et al. 2020"
"6","Alouatta pigra",0.12,"Actinobacteria","New_World","Guatemalan black howler","Mann et al. 2020"
"7","Papio hamadryas",3.188,"Actinobacteria","Old_World","Hamadryas baboon","Mann et al. 2020"
"8","Colobus guereza",0.37,"Actinobacteria","Old_World","Mantled guereza","Mann et al. 2020"
"9","Eulemur rubriventer",1.06,"Actinobacteria","Lemur","Red bellied lemur","Mann et al. 2020"
"10","Cercopithecus ascanius",3.936,"Actinobacteria","Old_World","Red tailed monkey","Mann et al. 2020"
"11","Alouatta seniculus",0.0266666666666667,"Actinobacteria","New_World","Venezuelan red howler","Mann et al. 2020"
"12","Piliocolobus badius",5.624,"Actinobacteria","Old_World","Western red colobus","Mann et al. 2020"
"13","Ateles belzebuth",0.475,"Actinobacteria","New_World","White bellied spider monkey","Mann et al. 2020"
"14","Propithecus verreauxi",1.996,"Actinobacteria","Lemur","White sifaka","Mann et al. 2020"
"15","Ateles hybridus",40.32,"Bacteroidetes","New_World","Brown spider monkey","Mann et al. 2020"
"16","Lagothrix lagotricha",12.415,"Bacteroidetes","New_World","Brown woolly monkey","Mann et al. 2020"
"17","Pan troglodytes",19.735,"Bacteroidetes","Ape","Chimpanzee","Mann et al. 2020"
"18","Theropithecus gelada",38.76,"Bacteroidetes","Old_World","Gelada","Mann et al. 2020"
"19","Gorilla gorilla",27.07,"Bacteroidetes","Ape","Gorilla","Mann et al. 2020"
"20","Alouatta pigra",16.84,"Bacteroidetes","New_World","Guatemalan black howler","Mann et al. 2020"
"21","Papio hamadryas",14.776,"Bacteroidetes","Old_World","Hamadryas baboon","Mann et al. 2020"
"22","Colobus guereza",21.45,"Bacteroidetes","Old_World","Mantled guereza","Mann et al. 2020"
"23","Eulemur rubriventer",45.88,"Bacteroidetes","Lemur","Red bellied lemur","Mann et al. 2020"
"24","Cercopithecus ascanius",20.3,"Bacteroidetes","Old_World","Red tailed monkey","Mann et al. 2020"
