"","ID","FATHER","MOTHER"
"1","Baboon_196","Baboon_10","Baboon_209"
"2","Baboon_1645","Baboon_11","Baboon_320"
"3","Baboon_283","Baboon_14","Baboon_298"
"4","Baboon_235","Baboon_14","Baboon_227"
"5","Baboon_240","Baboon_14","Baboon_227"
"6","Baboon_560","Baboon_14","Baboon_520"
"7","Baboon_311","Baboon_14","Baboon_298"
"8","Baboon_1884","Baboon_14","Baboon_253"
"9","Baboon_309","Baboon_14","Baboon_272"
"10","Baboon_279","Baboon_14","Baboon_258"
"11","Baboon_1283","Baboon_14","Baboon_526"
"12","Baboon_1095","Baboon_16","Baboon_71"
"13","Baboon_293","Baboon_17","Baboon_271"
"14","Baboon_229","Baboon_17","Baboon_227"
"15","Baboon_558","Baboon_17","Baboon_520"
"16","Baboon_507","Baboon_17","Baboon_492"
"17","Baboon_4","Baboon_17","Baboon_1442"
"18","Baboon_498","Baboon_17","Baboon_494"
"19","Baboon_567","Baboon_17","Baboon_513"
"20","Baboon_342","Baboon_1455","Baboon_363"
"21","Baboon_201","Baboon_1455","Baboon_186"
"22","Baboon_206","Baboon_1455","Baboon_1225"
"23","Baboon_364","Baboon_1455","Baboon_363"
"24","Baboon_1101","Baboon_1455","Baboon_102"
"25","Baboon_150","Baboon_1455","Baboon_144"
"26","Baboon_449","Baboon_1455","Baboon_445"
"27","Baboon_56","Baboon_1455","Baboon_2009"
"28","Baboon_108","Baboon_1455","Baboon_102"
"29","Baboon_1806","Baboon_1455","Baboon_1545"
"30","Baboon_192","Baboon_1455","Baboon_187"
"31","Baboon_1627","Baboon_1455","Baboon_1545"
"32","Baboon_1681","Baboon_18","Baboon_503"
"33","Baboon_315","Baboon_20","Baboon_313"
"34","Baboon_341","Baboon_20","Baboon_333"
"35","Baboon_517","Baboon_20","Baboon_550"
"36","Baboon_1468","Baboon_20","Baboon_334"
"37","Baboon_564","Baboon_20","Baboon_538"
"38","Baboon_265","Baboon_20","Baboon_245"
"39","Baboon_261","Baboon_25","Baboon_309"
"40","Baboon_163","Baboon_26","Baboon_201"
"41","Baboon_523","Baboon_26","Baboon_518"
"42","Baboon_1525","Baboon_29","Baboon_48"
"43","Baboon_34","Baboon_29","Baboon_200"
"44","Baboon_1800","Baboon_29","Baboon_81"
"45","Baboon_1514","Baboon_29","Baboon_450"
"46","Baboon_172","Baboon_29","Baboon_199"
"47","Baboon_94","Baboon_29","Baboon_99"
"48","Baboon_68","Baboon_29","Baboon_51"
"49","Baboon_169","Baboon_29","Baboon_199"
"50","Baboon_453","Baboon_29","Baboon_448"
"51","Baboon_1242","Baboon_29","Baboon_200"
"52","Baboon_170","Baboon_29","Baboon_201"
"53","Baboon_92","Baboon_29","Baboon_107"
"54","Baboon_198","Baboon_29","Baboon_206"
"55","Baboon_189","Baboon_29","Baboon_206"
"56","Baboon_292","Baboon_33","Baboon_298"
"57","Baboon_259","Baboon_33","Baboon_258"
"58","Baboon_519","Baboon_33","Baboon_520"
"59","Baboon_87","Baboon_36","Baboon_99"
"60","Baboon_433","Baboon_36","Baboon_439"
"61","Baboon_1282","Baboon_38","Baboon_94"
"62","Baboon_1195","Baboon_42","Baboon_539"
"63","Baboon_1776","Baboon_42","Baboon_285"
"64","Baboon_173","Baboon_42","Baboon_201"
"65","Baboon_1054","Baboon_46","Baboon_300"
"66","Baboon_1255","Baboon_46","Baboon_109"
"67","Baboon_461","Baboon_46","Baboon_258"
"68","Baboon_476","Baboon_46","Baboon_305"
"69","Baboon_1421","Baboon_46","Baboon_544"
"70","Baboon_1046","Baboon_46","Baboon_24"
"71","Baboon_1784","Baboon_46","Baboon_305"
"72","Baboon_460","Baboon_46","Baboon_307"
"73","Baboon_541","Baboon_1860","Baboon_525"
"74","Baboon_327","Baboon_1860","Baboon_328"
"75","Baboon_511","Baboon_1860","Baboon_518"
"76","Baboon_275","Baboon_1860","Baboon_245"
"77","Baboon_1925","Baboon_1860","Baboon_1594"
"78","Baboon_347","Baboon_1860","Baboon_1591"
"79","Baboon_285","Baboon_1860","Baboon_1268"
"80","Baboon_543","Baboon_1860","Baboon_518"
"81","Baboon_1036","Baboon_1860","Baboon_1594"
"82","Baboon_1809","Baboon_64","Baboon_106"
"83","Baboon_104","Baboon_64","Baboon_87"
"84","Baboon_1006","Baboon_64","Baboon_150"
"85","Baboon_1819","Baboon_64","Baboon_204"
"86","Baboon_2106","Baboon_64","Baboon_32"
"87","Baboon_168","Baboon_64","Baboon_181"
"88","Baboon_1591","Baboon_1700","Baboon_346"
"89","Baboon_252","Baboon_1700","Baboon_2119"
"90","Baboon_1508","Baboon_1700","Baboon_1566"
"91","Baboon_2116","Baboon_74","Baboon_354"
"92","Baboon_472","Baboon_74","Baboon_258"
"93","Baboon_1124","Baboon_74","Baboon_540"
"94","Baboon_467","Baboon_74","Baboon_301"
"95","Baboon_274","Baboon_74","Baboon_311"
"96","Baboon_1066","Baboon_78","Baboon_534"
"97","Baboon_303","Baboon_79","Baboon_253"
"98","Baboon_549","Baboon_79","Baboon_526"
"99","Baboon_1859","Baboon_79","Baboon_272"
"100","Baboon_289","Baboon_79","Baboon_258"
"101","Baboon_548","Baboon_79","Baboon_520"
"102","Baboon_521","Baboon_79","Baboon_513"
"103","Baboon_280","Baboon_1732","Baboon_272"
"104","Baboon_2056","Baboon_1732","Baboon_1665"
"105","Baboon_62","Baboon_85","Baboon_61"
"106","Baboon_77","Baboon_85","Baboon_107"
"107","Baboon_72","Baboon_85","Baboon_51"
"108","Baboon_442","Baboon_85","Baboon_445"
"109","Baboon_181","Baboon_85","Baboon_201"
"110","Baboon_1348","Baboon_85","Baboon_150"
"111","Baboon_1470","Baboon_1562","Baboon_1268"
"112","Baboon_1466","Baboon_1562","Baboon_1875"
